行政區,路名,巷,弄
三重區,大有街,,
三重區,水漾路二段,,
三重區,水漾路二段,１５５巷,
三重區,水漾路二段,１５５巷,２２弄
三重區,水漾路二段,１６８巷,
三重區,忠孝路三段,９３巷,
三重區,忠孝路三段,９９巷,２３弄
三重區,忠孝路三段,９９巷,２４弄
三重區,忠孝路三段,９９巷,
三重區,金華街,６１巷,
三重區,金華街,,
三重區,金華街,７４巷,
三重區,頂崁街,,
三重區,頂崁街,１７０巷,
三重區,頂崁街,１８７巷,
三重區,頂崁街,１９２巷,
三重區,頂崁街,１９２巷,３弄
三重區,頂崁街,１９２巷,４弄
三重區,頂崁街,２１０巷,２８弄
三重區,頂崁街,２１０巷,６６弄
三重區,穀保街,,
三重區,三民街,,
三重區,三民街,８５巷,
三重區,三民街,９７巷,
三重區,三民街,９７巷,２弄
三重區,三民街,１５５巷,
三重區,中正北路,,
三重區,中正北路,６４巷,
三重區,中正北路,１１８巷,
三重區,重陽路二段,,
三重區,重陽路二段,１８巷,
三重區,重陽路二段,２４巷,
三重區,重陽路二段,３４巷,
三重區,重陽路二段,３４巷,１６弄
三重區,重陽路二段,５２巷,
三重區,三和路二段,,
三重區,三和路三段,,
三重區,三和路三段,１６巷,
三重區,三和路三段,４６巷,
三重區,六張街,,
三重區,六張街,６巷,
三重區,文化北路,,
三重區,文化北路,２２４巷,
三重區,文化北路,２２６巷,
三重區,正義北路,,
三重區,安慶街,,
三重區,安樂街,,
三重區,安興街,,
三重區,龍門路,,
三重區,大同南路,,
三重區,大同南路,７巷,
三重區,大同南路,１９巷,
三重區,中正南路,,
三重區,中正南路,８巷,１弄
三重區,中正南路,８巷,
三重區,中正南路,３６巷,
三重區,中正南路,３６巷,３弄
三重區,中正南路,４１巷,
三重區,中正南路,５２巷,
三重區,仁化街,,
三重區,重新路三段,,
三重區,重新路三段,６０巷,
三重區,重新路三段,６０巷,１０弄
三重區,大同南路,１１７巷,
三重區,大同南路,１１７巷,２０弄
三重區,大同南路,１１７巷,３８弄
三重區,大同南路,１２９巷,
三重區,大同南路,１２９巷,１４弄
三重區,大同南路,１２９巷,１５弄
三重區,大同南路,１３９巷,
三重區,大同南路,１４３巷,
三重區,仁化街,１５８巷,
三重區,仁化街,１７８巷,
三重區,同安街,,
三重區,同安街,３５巷,
三重區,電信街,,
三重區,三民街,３１７巷,
三重區,中正北路,３３１巷,
三重區,中正北路,３３１巷,１０弄
三重區,中正北路,３３１巷,２０弄
三重區,中正北路,３６９巷,
三重區,中正北路,３８０巷,
三重區,中正北路,３９３巷,
三重區,中正北路,３９４巷,１弄
三重區,中正北路,３９４巷,２弄
三重區,中正北路,３９４巷,３弄
三重區,中正北路,３９４巷,４弄
三重區,中正北路,３９４巷,５弄
三重區,中正北路,３９４巷,６弄
三重區,中正北路,３９４巷,７弄
三重區,中正北路,３９４巷,
三重區,中正北路,４０８巷,
三重區,中正北路,４１１巷,
三重區,中正北路,４２８巷,
三重區,中正北路,４２８巷,７弄
三重區,中正北路,５０８巷,
三重區,中正北路,５３０巷,
三重區,中正北路,５４０巷,
三重區,中正北路,５６０巷,
三重區,中正北路,５６０巷,１５弄
三重區,中正北路,５６０巷,３７弄
三重區,中正北路,５６０巷,７７弄
三重區,中正北路,５６０巷,１００弄
三重區,中正北路,５９８巷,
三重區,大仁街,,
三重區,大同北路,,
三重區,大同北路,９５巷,
三重區,大同北路,１０９巷,
三重區,大同北路,１１５巷,
三重區,大同北路,１２１巷,
三重區,大同北路,１３１巷,
三重區,大同北路,１３３巷,
三重區,大同北路,１３５巷,
三重區,大同北路,１６７巷,
三重區,大同北路,１６７巷,２４弄
三重區,大同北路,１６７巷,４９弄
三重區,大智街,,
三重區,大智街,７６巷,
三重區,信義西街,,
三重區,信義西街,３９巷,
三重區,三和路一段,,
三重區,三和路一段,３２巷,
三重區,重新路一段,,
三重區,福德北路,,
三重區,福德北路,２１巷,
三重區,福德北路,３１巷,
三重區,福德北路,５３巷,
三重區,大同北路,１６巷,
三重區,大同北路,３４巷,
三重區,大同北路,３４巷,５４弄
三重區,大同北路,４４巷,
三重區,中正北路,２５巷,
三重區,中正北路,２５巷,２５弄
三重區,重新路三段,４７巷,３弄
三重區,重新路三段,４７巷,５弄
三重區,重新路三段,４９巷,
三重區,新北大道一段,,
三重區,文化北路,１０２巷,
三重區,文化北路,１１８巷,
三重區,文化北路,１３２巷,
三重區,文化北路,１４０巷,
三重區,正義北路,１０７巷,
三重區,自強路一段,,
三重區,長元西街,,
三重區,長壽西街,,
三重區,中寮街,２巷,
三重區,中寮街,,
三重區,中寮街,１６巷,
三重區,中寮街,４８巷,
三重區,仁化街,３１巷,
三重區,仁化街,３１巷,７弄
三重區,仁化街,３１巷,８弄
三重區,,,
三重區,大同南路,１９巷,２弄
三重區,大同南路,１９巷,１０弄
三重區,大同南路,４９巷,
三重區,大同南路,４９巷,２４弄
三重區,大同南路,５７巷,
三重區,大同南路,５７巷,３１弄
三重區,中正南路,４５巷,
三重區,中正南路,５１巷,
三重區,中正南路,５２巷,１１弄
三重區,中正南路,５７巷,
三重區,中正南路,６０巷,
三重區,中正南路,６６巷,
三重區,中正南路,７２巷,
三重區,中正南路,８０巷,
三重區,光興街,,
三重區,中興北街,,
三重區,中興北街,１８巷,
三重區,中興北街,１９巷,
三重區,中興北街,２３巷,
三重區,中興北街,３８巷,
三重區,中興北街,４２巷,
三重區,中興北街,４２巷,１７弄
三重區,中興北街,６０巷,
三重區,中興北街,７１巷,
三重區,中興北街,１０４巷,
三重區,中興北街,１３５巷,
三重區,中興北街,１３９巷,
三重區,中興北街,１５５巷,
三重區,中興南街,,
三重區,中興南街,２３巷,
三重區,中興南街,２６巷,
三重區,中興南街,６８巷,
三重區,中興南街,６８巷,１０弄
三重區,中興南街,８０巷,
三重區,光復路一段,,
三重區,光復路一段,１８巷,
三重區,光復路一段,３０巷,
三重區,光復路一段,５４巷,
三重區,光復路一段,６４巷,
三重區,光復路一段,６８巷,
三重區,光復路一段,６８巷,１１弄
三重區,光復路一段,６８巷,２４弄
三重區,光復路一段,１１２巷,
三重區,光復路一段,１３０巷,
三重區,光復路二段,,
三重區,光復路二段,４２巷,
三重區,重新路五段,,
三重區,重新路五段,５５０巷,
三重區,重新路五段,５５０巷,２弄
三重區,重新路五段,６０９巷,
三重區,重新路五段,６１３巷,
三重區,重新路五段,６２７巷,
三重區,重新路五段,６６１巷,
三重區,興德路,,
三重區,興德路,１３１巷,
三重區,興德路,１４１巷,
三重區,五谷王北街,２巷,
三重區,五谷王北街,,
三重區,五谷王北街,２０巷,１５弄
三重區,五谷王北街,２０巷,
三重區,五谷王北街,４２巷,
三重區,五谷王北街,４５巷,
三重區,五谷王北街,４５巷,３２弄
三重區,五谷王北街,４８巷,
三重區,五谷王北街,７５巷,
三重區,五谷王南街,,
三重區,五谷王南街,１１巷,
三重區,五谷王南街,１１巷,１５弄
三重區,五谷王南街,１１巷,１７弄
三重區,五谷王南街,１１巷,２３弄
三重區,五谷王南街,３０巷,
三重區,五谷王南街,４６巷,
三重區,光復路一段,１５巷,
三重區,光復路一段,１５巷,６弄
三重區,光復路一段,６１巷,
三重區,光復路一段,６１巷,２４弄
三重區,光復路一段,６１巷,２５弄
三重區,光復路一段,６１巷,３１弄
三重區,光復路一段,８３巷,
三重區,光復路一段,９９巷,
三重區,重新路五段,４０８巷,
三重區,重新路五段,４８６巷,
三重區,神農街,,
三重區,環漢路一段,,
三重區,五華街,１巷,
三重區,五華街,３巷,
三重區,五華街,,
三重區,五華街,７巷,
三重區,仁愛街,,
三重區,仁愛街,２４５巷,
三重區,仁愛街,２５５巷,
三重區,仁愛街,２６９巷,
三重區,仁義街,３７巷,
三重區,仁義街,,
三重區,仁義街,７９巷,
三重區,仁義街,１０１巷,
三重區,仁義街,１４３巷,
三重區,仁義街,１５７巷,
三重區,仁義街,１５９巷,
三重區,仁義街,１６７巷,
三重區,仁義街,１６７巷,３２弄
三重區,仁義街,１６７巷,３８弄
三重區,仁義街,１７８巷,
三重區,元信一街,,
三重區,元信二街,,
三重區,元信三街,,
三重區,元富一街,,
三重區,元富二街,,
三重區,環河北路二段,,
三重區,五華街,５７巷,
三重區,五華街,６３巷,
三重區,五華街,７１巷,
三重區,五華街,７５巷,
三重區,五華街,８７巷,
三重區,五華街,８７巷,３７弄
三重區,仁義街,２２０巷,
三重區,仁義街,２２６巷,
三重區,仁義街,２２８巷,
三重區,仁義街,２３０巷,
三重區,通華街,,
三重區,進安街,,
三重區,集賢路,,
三重區,五華街,１３巷,
三重區,五華街,２１巷,
三重區,五華街,３５巷,
三重區,仁愛街,２８３巷,
三重區,仁愛街,３１５巷,
三重區,仁愛街,３１５巷,３弄
三重區,仁義街,２１１巷,
三重區,仁義街,２２５巷,
三重區,五福街,,
三重區,仁愛街,３７７巷,
三重區,仁愛街,３９７巷,
三重區,仁義街,２４１巷,
三重區,自強路五段,,
三重區,環河北路三段,,
三重區,五華街,５５巷,
三重區,仁忠街,１巷,
三重區,仁忠街,,
三重區,仁愛街,３２７巷,
三重區,仁愛街,３５７巷,
三重區,三和路四段,,
三重區,仁安街,,
三重區,仁華街,,
三重區,仁華街,２８巷,
三重區,仁華街,６２巷,
三重區,仁華街,８０巷,
三重區,仁華街,８０巷,８弄
三重區,仁華街,８０巷,２２弄
三重區,永安北路二段,,
三重區,永安北路二段,５巷,
三重區,永安北路二段,１３巷,
三重區,永安北路二段,２５巷,
三重區,永安北路二段,２７巷,
三重區,永安北路二段,３５巷,
三重區,永安北路二段,４３巷,
三重區,永安北路二段,４９巷,
三重區,碧華街,,
三重區,碧華街,５６巷,
三重區,碧華街,１０２巷,
三重區,碧華街,１１２巷,
三重區,碧華街,１４８巷,
三重區,碧華街,１４８巷,１０弄
三重區,大同南路,１２２巷,
三重區,大同南路,１３４巷,
三重區,大同南路,１４６巷,
三重區,大同南路,１５８巷,
三重區,大同南路,１７２巷,
三重區,大同南路,１７２巷,２２弄
三重區,正義南路,,
三重區,同安東街,,
三重區,大同南路,２６巷,
三重區,大同南路,４４巷,
三重區,正義南路,３７巷,
三重區,正義南路,４５巷,
三重區,正義南路,４５巷,３４弄
三重區,光興街,８７巷,
三重區,重新路二段,,
三重區,重新路二段,１２８巷,
三重區,重新路二段,１２８巷,８弄
三重區,重新路二段,１２８巷,２５弄
三重區,福裕街,,
三重區,福裕街,８０巷,
三重區,三和路二段,１７３巷,
三重區,介壽路,,
三重區,介壽路,１４巷,
三重區,介壽路,３９巷,
三重區,萬全街,,
三重區,萬壽街,,
三重區,力行路一段,８９巷,
三重區,力行路一段,,
三重區,力行路一段,１２３巷,
三重區,力行路一段,１５３巷,
三重區,力行路一段,１５３巷,４弄
三重區,力行路一段,１５３巷,１９弄
三重區,三張街,,
三重區,三張街,１２８巷,
三重區,六張街,２５５巷,５弄
三重區,六張街,２５５巷,
三重區,六張街,２５５巷,１７弄
三重區,自強路二段,,
三重區,自強路二段,２１巷,
三重區,自強路二段,２６巷,
三重區,自強路二段,３３巷,
三重區,自強路二段,４０巷,
三重區,自強路二段,４７巷,
三重區,自強路二段,５０巷,
三重區,自強路二段,６７巷,
三重區,自強路二段,７４巷,
三重區,重陽路四段,,
三重區,力行路一段,３８巷,
三重區,力行路一段,３８巷,５弄
三重區,力行路一段,５８巷,
三重區,中正北路,１１５巷,
三重區,中正北路,１４５巷,１弄
三重區,中正北路,１４５巷,２弄
三重區,中正北路,１４５巷,３弄
三重區,中正北路,１４５巷,４弄
三重區,中正北路,１４５巷,５弄
三重區,中正北路,１４５巷,６弄
三重區,中正北路,１４５巷,７弄
三重區,中正北路,１４５巷,８弄
三重區,中正北路,１４５巷,９弄
三重區,中正北路,１４５巷,
三重區,中正北路,１７６巷,
三重區,中正北路,１７６巷,５弄
三重區,中正北路,２０８巷,
三重區,中正北路,２０８巷,１０弄
三重區,忠孝路二段,,
三重區,忠孝路二段,１２４巷,１弄
三重區,忠孝路二段,１２４巷,
