areacode,行政區,路名,巷,弄
65000090,三峽區,三十股路,,
65000090,三峽區,三十股路,１１巷,
65000090,三峽區,三十股路,７巷,
65000090,三峽區,三層坪路,,
65000090,三峽區,三層坪路,１５巷,
65000090,三峽區,三層坪路,４５巷,
65000090,三峽區,三層坪路,５０巷,
65000090,三峽區,三層坪路,６７巷,
65000090,三峽區,三德路,,
65000090,三峽區,三樹一街,,
65000090,三峽區,三樹路,,
65000090,三峽區,三樹路,１３８巷,
65000090,三峽區,三樹路,１６８巷,
65000090,三峽區,三樹路,２１４巷,
65000090,三峽區,三樹路,２２２巷,
65000090,三峽區,三樹路,２２２巷,１７８弄
65000090,三峽區,三樹路,２２２巷,２１５弄
65000090,三峽區,三樹路,２２２巷,２２８弄
65000090,三峽區,三樹路,２２２巷,２３６弄
65000090,三峽區,三樹路,２２２巷,２５４弄
65000090,三峽區,三樹路,２２２巷,６弄
65000090,三峽區,三樹路,２２２巷,６０弄
65000090,三峽區,三樹路,４４巷,
65000090,三峽區,三樹路,７巷,
65000090,三峽區,三樹路,９８巷,
65000090,三峽區,三樹路,９８巷,１５６弄
65000090,三峽區,三樹路,９８巷,７４弄
65000090,三峽區,中園街,,
65000090,三峽區,中園街,７４巷,
65000090,三峽區,中園街,８６巷,
65000090,三峽區,中山路,,
65000090,三峽區,中山路,１０６巷,
65000090,三峽區,中山路,１０６巷,１６弄
65000090,三峽區,中山路,１０６巷,１７弄
65000090,三峽區,中山路,１０６巷,３３弄
65000090,三峽區,中山路,１１５巷,
65000090,三峽區,中山路,１３巷,
65000090,三峽區,中山路,１５２巷,
65000090,三峽區,中山路,１６９巷,
65000090,三峽區,中山路,１６９巷,１１弄
65000090,三峽區,中山路,１８４巷,
65000090,三峽區,中山路,１８４巷,１弄
65000090,三峽區,中山路,２０巷,
65000090,三峽區,中山路,２１９巷,
65000090,三峽區,中山路,２１９巷,１７弄
65000090,三峽區,中山路,２１９巷,１９弄
65000090,三峽區,中山路,２２０巷,
65000090,三峽區,中山路,２３１巷,
65000090,三峽區,中山路,２３１巷,１弄
65000090,三峽區,中山路,２３８巷,
65000090,三峽區,中山路,２５７巷,
65000090,三峽區,中山路,２７７巷,
65000090,三峽區,中山路,２７９巷,
65000090,三峽區,中山路,２８８巷,
65000090,三峽區,中山路,２９９巷,
65000090,三峽區,中山路,２９９巷,１３弄
65000090,三峽區,中山路,２９９巷,１５弄
65000090,三峽區,中山路,５０１巷,
65000090,三峽區,中山路,５２巷,
65000090,三峽區,中山路,５６７巷,
65000090,三峽區,中山路,６３巷,
65000090,三峽區,中山路,６５１巷,
65000090,三峽區,中山路,６７巷,
65000090,三峽區,中山路,７１１巷,
65000090,三峽區,中山路,８８９巷,
65000090,三峽區,中正路一段,,
65000090,三峽區,中正路一段,１０８巷,
65000090,三峽區,中正路一段,１０８巷,７弄
65000090,三峽區,中正路一段,１７４巷,
65000090,三峽區,中正路一段,１７４巷,１弄
65000090,三峽區,中正路一段,１７４巷,４弄
65000090,三峽區,中正路一段,１９巷,
65000090,三峽區,中正路一段,１９１巷,
65000090,三峽區,中正路一段,２１６巷,
65000090,三峽區,中正路一段,２１６巷,１弄
65000090,三峽區,中正路一段,２１６巷,２弄
65000090,三峽區,中正路一段,２９１巷,
65000090,三峽區,中正路一段,２９２巷,
65000090,三峽區,中正路一段,２９２巷,１２弄
65000090,三峽區,中正路一段,２９２巷,１９弄
65000090,三峽區,中正路一段,２９２巷,２９弄
65000090,三峽區,中正路一段,２９２巷,９弄
65000090,三峽區,中正路一段,３３６巷,１５弄
65000090,三峽區,中正路一段,３５５巷,
65000090,三峽區,中正路一段,４０６巷,
65000090,三峽區,中正路一段,４２１巷,
65000090,三峽區,中正路一段,５２２巷,
65000090,三峽區,中正路一段,９巷,
65000090,三峽區,中正路三段,,
65000090,三峽區,中正路三段,１７０巷,
65000090,三峽區,中正路三段,７０巷,
65000090,三峽區,中正路二段,,
65000090,三峽區,中正路二段,１０７巷,
65000090,三峽區,中正路二段,１２２巷,
65000090,三峽區,中正路二段,１６６巷,
65000090,三峽區,中正路二段,１７６巷,
65000090,三峽區,中正路二段,２９９巷,
65000090,三峽區,中正路二段,３７０巷,
65000090,三峽區,中正路二段,３９５巷,
65000090,三峽區,中正路二段,４１２巷,
65000090,三峽區,中正路二段,４２巷,
65000090,三峽區,中正路二段,４７０巷,
65000090,三峽區,中正路二段,４８４巷,
65000090,三峽區,中正路二段,４９６巷,
65000090,三峽區,中正路二段,５８４巷,１弄
65000090,三峽區,中正路二段,５８４巷,２弄
65000090,三峽區,中正路二段,５８４巷,３弄
65000090,三峽區,中正路二段,５８４巷,４弄
65000090,三峽區,中正路二段,８３巷,
65000090,三峽區,中華路,,
65000090,三峽區,中華路,１１巷,
65000090,三峽區,中華路,１３７巷,
65000090,三峽區,中華路,１５巷,
65000090,三峽區,中華路,２８巷,
65000090,三峽區,中華路,４３巷,
65000090,三峽區,中華路,４４巷,
65000090,三峽區,中華路,４４巷,７弄
65000090,三峽區,中華路,４８巷,
65000090,三峽區,中華路,４８巷,１３弄
65000090,三峽區,中華路,６３巷,
65000090,三峽區,中華路,７２巷,
65000090,三峽區,中華路,７５巷,
65000090,三峽區,中華路,９３巷,
65000090,三峽區,九份路,,
65000090,三峽區,二鬮路,,
65000090,三峽區,二鬮路,１１０巷,
65000090,三峽區,二鬮路,１３６巷,
65000090,三峽區,二鬮路,１３６巷,１弄
65000090,三峽區,二鬮路,１３６巷,１６弄
65000090,三峽區,二鬮路,１３６巷,１８弄
65000090,三峽區,二鬮路,１３６巷,２弄
65000090,三峽區,二鬮路,１３６巷,２０弄
65000090,三峽區,二鬮路,１３６巷,２２弄
65000090,三峽區,二鬮路,１３６巷,２４弄
65000090,三峽區,二鬮路,２３巷,
65000090,三峽區,二鬮路,５０巷,
65000090,三峽區,二鬮路,８１巷,
65000090,三峽區,仁愛街,,
65000090,三峽區,介壽路一段,,
65000090,三峽區,介壽路一段,１０１巷,
65000090,三峽區,介壽路一段,１１５巷,
65000090,三峽區,介壽路一段,１３７巷,
65000090,三峽區,介壽路一段,１５５巷,
65000090,三峽區,介壽路一段,２２９巷,
65000090,三峽區,介壽路一段,２４９巷,
65000090,三峽區,介壽路一段,２７６巷,
65000090,三峽區,介壽路一段,２７６巷,１０２弄
65000090,三峽區,介壽路一段,２７６巷,１０８弄
65000090,三峽區,介壽路一段,２７６巷,１２６弄
65000090,三峽區,介壽路一段,２７６巷,８８弄
65000090,三峽區,介壽路一段,３１１巷,
65000090,三峽區,介壽路一段,３１８巷,
65000090,三峽區,介壽路一段,３３８巷,
65000090,三峽區,介壽路一段,３８８巷,
65000090,三峽區,介壽路一段,４１２巷,
65000090,三峽區,介壽路一段,４２０巷,
65000090,三峽區,介壽路一段,５５２巷,
65000090,三峽區,介壽路三段,,
65000090,三峽區,介壽路三段,１７２巷,
65000090,三峽區,介壽路三段,１８５巷,
65000090,三峽區,介壽路三段,２００巷,
65000090,三峽區,介壽路三段,２００巷,２弄
65000090,三峽區,介壽路三段,２００巷,４弄
65000090,三峽區,介壽路三段,２３３巷,
65000090,三峽區,介壽路三段,２３５巷,
65000090,三峽區,介壽路三段,２４１巷,
65000090,三峽區,介壽路三段,２６０巷,
65000090,三峽區,介壽路三段,３６巷,
65000090,三峽區,介壽路三段,４３巷,
65000090,三峽區,介壽路二段,,
65000090,三峽區,介壽路二段,１２３巷,
65000090,三峽區,介壽路二段,１３６巷,
65000090,三峽區,介壽路二段,１３６巷,１０６弄
65000090,三峽區,介壽路二段,１３６巷,１２０弄
65000090,三峽區,介壽路二段,１３６巷,４５弄
65000090,三峽區,介壽路二段,１３８巷,
65000090,三峽區,介壽路二段,１３８巷,１弄
65000090,三峽區,介壽路二段,１３８巷,５１弄
65000090,三峽區,介壽路二段,１６１巷,
65000090,三峽區,介壽路二段,３８巷,
65000090,三峽區,介壽路二段,６巷,
65000090,三峽區,介壽路二段,８９巷,
65000090,三峽區,佳福路,,
65000090,三峽區,佳興路,,
65000090,三峽區,信義街,,
65000090,三峽區,光明路,,
65000090,三峽區,光明路,１０６巷,
65000090,三峽區,光明路,１０６巷,２７弄
65000090,三峽區,光明路,１１０巷,
65000090,三峽區,光明路,３巷,
65000090,三峽區,光明路,６９巷,
65000090,三峽區,光明路,７５巷,
65000090,三峽區,光明路,９２巷,
65000090,三峽區,和平街,,
65000090,三峽區,和平街,１巷,
65000090,三峽區,和平街,２９巷,
65000090,三峽區,和平街,２９巷,５弄
65000090,三峽區,和平街,３６巷,
65000090,三峽區,和平街,３６巷,７弄
65000090,三峽區,和平街,６３巷,
65000090,三峽區,和平街,７９巷,
65000090,三峽區,和平街,８９巷,
65000090,三峽區,國光街,,
65000090,三峽區,國光街,１２巷,
65000090,三峽區,國光街,１８巷,
65000090,三峽區,國光街,２４巷,
65000090,三峽區,國光街,３巷,
65000090,三峽區,國光街,３３０巷,１弄
65000090,三峽區,國光街,３３０巷,２弄
65000090,三峽區,國光街,３３０巷,３弄
65000090,三峽區,國光街,３３０巷,６弄
65000090,三峽區,國光街,３５０巷,
65000090,三峽區,國光街,３６４巷,
65000090,三峽區,國光街,３７巷,
65000090,三峽區,國光街,３７巷,３弄
65000090,三峽區,國光街,３８巷,
65000090,三峽區,國光街,４３巷,
65000090,三峽區,國光街,６３巷,
65000090,三峽區,國光街,８１巷,
65000090,三峽區,國北街,,
65000090,三峽區,國學街,,
65000090,三峽區,國安街,,
65000090,三峽區,國慶路,,
65000090,三峽區,國成街,,
65000090,三峽區,國民街,,
