areacode,行政區,路名,巷,弄
65000210,三芝區,,,
65000210,三芝區,三民街,,
65000210,三芝區,三民街,２７巷,
65000210,三芝區,三民街,３９巷,
65000210,三芝區,三民街,８巷,
65000210,三芝區,中山路一段,,
65000210,三芝區,中山路一段,８８巷,
65000210,三芝區,中山路一段,９巷,
65000210,三芝區,中山路一段,９巷,２６弄
65000210,三芝區,中山路二段,,
65000210,三芝區,中山路二段,４７巷,
65000210,三芝區,中正路一段,,
65000210,三芝區,中正路一段,１１６巷,
65000210,三芝區,中正路一段,１８巷,
65000210,三芝區,中正路一段,１９巷,
65000210,三芝區,中正路一段,３６巷,
65000210,三芝區,中正路一段,８４巷,１弄
65000210,三芝區,中正路一段,８４巷,２弄
65000210,三芝區,中正路三段,,
65000210,三芝區,中正路三段,１１巷,
65000210,三芝區,中正路三段,１８巷,
65000210,三芝區,中正路三段,２５巷,
65000210,三芝區,中正路二段,,
65000210,三芝區,中正路二段,１０巷,
65000210,三芝區,中興街一段,,
65000210,三芝區,中興街一段,５７巷,１弄
65000210,三芝區,中興街二段,,
65000210,三芝區,中興街二段,１０５巷,
65000210,三芝區,中興街二段,４２巷,
65000210,三芝區,信義路,,
65000210,三芝區,光仁街,,
65000210,三芝區,光復街,,
65000210,三芝區,光明街,,
65000210,三芝區,光華街,,
65000210,三芝區,光隆街,,
65000210,三芝區,公正街,,
65000210,三芝區,公正街三段,,
65000210,三芝區,公正街三段,１１巷,
65000210,三芝區,利民街,,
65000210,三芝區,北海路二段,,
65000210,三芝區,忠孝街,,
65000210,三芝區,忠孝街,１７６巷,
65000210,三芝區,晴光街,,
65000210,三芝區,智成街,,
65000210,三芝區,智成街,１巷,
65000210,三芝區,智成街,７１巷,
65000210,三芝區,楓林一街,,
65000210,三芝區,楓林三街,,
65000210,三芝區,楓林三街,２０巷,
65000210,三芝區,楓林二街,,
65000210,三芝區,楓林五街,,
65000210,三芝區,楓林六街,,
65000210,三芝區,楓林路,,
65000210,三芝區,樂全街,,
65000210,三芝區,民生街,,
65000210,三芝區,民生街,１巷,
65000210,三芝區,民生街,５４巷,
65000210,三芝區,民生街,６４巷,
65000210,三芝區,海景一街,,
65000210,三芝區,海景三街,,
65000210,三芝區,海景三街,１５巷,
65000210,三芝區,海景二街,,
65000210,三芝區,海景二街,１５巷,
65000210,三芝區,海景二街,９巷,
65000210,三芝區,海景五街,,
65000210,三芝區,海景五街,１１巷,
65000210,三芝區,海景四街,,
65000210,三芝區,海景四街,２６巷,
65000210,三芝區,海景四街,２７巷,
65000210,三芝區,淡金路一段,,
65000210,三芝區,淡金路一段,７１巷,
65000210,三芝區,淡金路二段,,
65000210,三芝區,淡金路二段,１９巷,
65000210,三芝區,淡金路二段,８７巷,
65000210,三芝區,淺水灣街,,
65000210,三芝區,環金路,,
65000210,三芝區,番婆林,,
65000210,三芝區,聽濤街,,
65000210,三芝區,育英街,,
65000210,三芝區,育英街,２４巷,
65000210,三芝區,芝柏一街,,
65000210,三芝區,芝柏三街,,
65000210,三芝區,芝柏二街,,
65000210,三芝區,芝柏五街,,
65000210,三芝區,芝柏路,,
65000210,三芝區,芝麻一街,,
65000210,三芝區,芝麻三街,,
65000210,三芝區,芝麻二街,,
65000210,三芝區,芝麻五街,,
65000210,三芝區,芝麻四街,,
65000210,三芝區,菜公坑,,
65000210,三芝區,蕃社后,,
65000210,三芝區,蘭陽街,,
65000210,三芝區,觀海街,,
65000210,三芝區,車新路,,
65000210,三芝區,迎旭街,,
65000210,三芝區,長勤街,,
65000210,三芝區,長勤街,３０巷,
65000210,三芝區,長勤街,３７巷,
65000210,三芝區,長勤街,４０巷,
65000210,三芝區,長勤街,４５巷,
65000210,三芝區,長勤街,８巷,
65000210,三芝區,長勤街,９巷,
65000210,三芝區,長勤街,９巷,１１弄
65000210,三芝區,長勤街,９巷,１２弄
65000210,三芝區,長勤街,９巷,９弄
65000210,三芝區,長安街,,
65000210,三芝區,長安街,５３巷,
65000210,三芝區,長春街,,
65000210,三芝區,陽明路,,
65000210,三芝區,陽明路,１５巷,
65000210,三芝區,陽明路,１７巷,
