areacode,行政區,路名,巷,弄,號
,中正區,三元街,,,100號
,中正區,三元街,,,102號
,中正區,三元街,,,104號
,中正區,三元街,,,106號
,中正區,三元街,,,108號
,中正區,三元街,,,10之1號
,中正區,三元街,,,110號
,中正區,三元街,,,112號
,中正區,三元街,,,113號
,中正區,三元街,,,114號
,中正區,三元街,,,115號
,中正區,三元街,,,116號
,中正區,三元街,,,117號
,中正區,三元街,,,118號
,中正區,三元街,,,120號
,中正區,三元街,,,122號
,中正區,三元街,,,124號
,中正區,三元街,,,126號
,中正區,三元街,,,128號
,中正區,三元街,,,130號
,中正區,三元街,,,131號
,中正區,三元街,,,131號七樓
,中正區,三元街,,,131號五樓
,中正區,三元街,,,131號四樓
,中正區,三元街,,,132號
,中正區,三元街,,,134號
,中正區,三元街,,,136號
,中正區,三元街,,,138號
,中正區,三元街,,,140號
,中正區,三元街,,,142號
,中正區,三元街,,,144之1號
,中正區,三元街,,,144號
,中正區,三元街,,,146之1號
,中正區,三元街,,,146號
,中正區,三元街,,,148號
,中正區,三元街,,,14號
,中正區,三元街,,,154號
,中正區,三元街,,,154號三樓
,中正區,三元街,,,154號二樓
,中正區,三元街,,,154號五樓
,中正區,三元街,,,154號四樓
,中正區,三元街,,,156號
,中正區,三元街,,,156號三樓
,中正區,三元街,,,156號二樓
,中正區,三元街,,,156號五樓
,中正區,三元街,,,156號四樓
,中正區,三元街,,,158之1號
,中正區,三元街,,,158之1號三樓
,中正區,三元街,,,158之1號二樓
,中正區,三元街,,,158之1號五樓
,中正區,三元街,,,158之1號四樓
,中正區,三元街,,,158號
,中正區,三元街,,,158號三樓
,中正區,三元街,,,158號二樓
,中正區,三元街,,,158號五樓
,中正區,三元街,,,158號四樓
,中正區,三元街,,,159號
,中正區,三元街,,,160號
,中正區,三元街,,,160號三樓
,中正區,三元街,,,160號二樓
,中正區,三元街,,,160號四樓
,中正區,三元街,,,162號
,中正區,三元街,,,162號三樓
,中正區,三元街,,,162號二樓
,中正區,三元街,,,162號四樓
,中正區,三元街,,,164號
,中正區,三元街,,,164號三樓
,中正區,三元街,,,164號二樓
,中正區,三元街,,,164號四樓
,中正區,三元街,,,165號
,中正區,三元街,,,166號
,中正區,三元街,,,166號三樓
,中正區,三元街,,,166號二樓
,中正區,三元街,,,166號四樓
,中正區,三元街,,,167號
,中正區,三元街,,,168號
,中正區,三元街,,,168號三樓
,中正區,三元街,,,168號二樓
,中正區,三元街,,,168號四樓
,中正區,三元街,,,169號
,中正區,三元街,,,16號
,中正區,三元街,,,170之1號
,中正區,三元街,,,170號
,中正區,三元街,,,170號三樓
,中正區,三元街,,,170號二樓
,中正區,三元街,,,170號四樓
,中正區,三元街,,,171號
,中正區,三元街,,,173號
,中正區,三元街,,,174號
,中正區,三元街,,,174號三樓
,中正區,三元街,,,174號二樓
,中正區,三元街,,,174號四樓
,中正區,三元街,,,175號
,中正區,三元街,,,176號
,中正區,三元街,,,176號三樓
,中正區,三元街,,,176號二樓
,中正區,三元街,,,176號四樓
,中正區,三元街,,,177號
,中正區,三元街,,,178號
,中正區,三元街,,,178號三樓
,中正區,三元街,,,178號二樓
,中正區,三元街,,,178號四樓
,中正區,三元街,,,179之1號
,中正區,三元街,,,179號
,中正區,三元街,,,180號
,中正區,三元街,,,180號三樓
,中正區,三元街,,,180號二樓
,中正區,三元街,,,180號四樓
,中正區,三元街,,,182號
,中正區,三元街,,,182號三樓
,中正區,三元街,,,182號二樓
,中正區,三元街,,,182號四樓
,中正區,三元街,,,184號
,中正區,三元街,,,184號三樓
,中正區,三元街,,,184號二樓
,中正區,三元街,,,184號四樓
,中正區,三元街,,,186號
,中正區,三元街,,,186號三樓
,中正區,三元街,,,186號二樓
,中正區,三元街,,,186號四樓
,中正區,三元街,,,187號
,中正區,三元街,,,188號
,中正區,三元街,,,188號三樓
,中正區,三元街,,,188號二樓
,中正區,三元街,,,188號四樓
,中正區,三元街,,,18號
,中正區,三元街,,,190號
,中正區,三元街,,,190號三樓
,中正區,三元街,,,190號二樓
,中正區,三元街,,,190號四樓
,中正區,三元街,,,192號
,中正區,三元街,,,192號三樓
,中正區,三元街,,,192號二樓
,中正區,三元街,,,192號四樓
,中正區,三元街,,,193號
,中正區,三元街,,,194號
,中正區,三元街,,,194號三樓
,中正區,三元街,,,194號二樓
,中正區,三元街,,,194號四樓
,中正區,三元街,,,195之1號
,中正區,三元街,,,195號
,中正區,三元街,,,196號
,中正區,三元街,,,196號三樓
,中正區,三元街,,,196號二樓
,中正區,三元街,,,196號四樓
,中正區,三元街,,,197之1號
,中正區,三元街,,,197號
,中正區,三元街,,,198號
,中正區,三元街,,,198號三樓
,中正區,三元街,,,198號二樓
,中正區,三元街,,,198號四樓
,中正區,三元街,,,199號
,中正區,三元街,,,200號
,中正區,三元街,,,200號三樓
,中正區,三元街,,,200號二樓
,中正區,三元街,,,200號四樓
,中正區,三元街,,,201號
,中正區,三元街,,,202號
,中正區,三元街,,,202號三樓
,中正區,三元街,,,202號二樓
,中正區,三元街,,,202號四樓
,中正區,三元街,,,203號
,中正區,三元街,,,204號
,中正區,三元街,,,204號三樓
,中正區,三元街,,,204號二樓
,中正區,三元街,,,204號四樓
,中正區,三元街,,,205號
,中正區,三元街,,,206號
,中正區,三元街,,,206號三樓
,中正區,三元街,,,206號二樓
,中正區,三元街,,,206號四樓
,中正區,三元街,,,208號
,中正區,三元街,,,208號三樓
,中正區,三元街,,,208號二樓
,中正區,三元街,,,208號四樓
,中正區,三元街,,,209號
,中正區,三元街,,,209號七樓
,中正區,三元街,,,209號三樓
,中正區,三元街,,,209號二樓
,中正區,三元街,,,209號五樓
,中正區,三元街,,,209號六樓
,中正區,三元街,,,209號四樓
,中正區,三元街,,,209號地下
,中正區,三元街,,,20號
,中正區,三元街,,,210之1號
,中正區,三元街,,,210之1號三樓
,中正區,三元街,,,210之1號二樓
,中正區,三元街,,,210之1號四樓
,中正區,三元街,,,210號
,中正區,三元街,,,210號三樓
,中正區,三元街,,,210號二樓
,中正區,三元街,,,210號四樓
,中正區,三元街,,,211號
,中正區,三元街,,,211號三樓
,中正區,三元街,,,211號二樓
,中正區,三元街,,,211號五樓
,中正區,三元街,,,211號四樓
,中正區,三元街,,,213號
,中正區,三元街,,,213號三樓
,中正區,三元街,,,213號二樓
,中正區,三元街,,,213號五樓
,中正區,三元街,,,213號四樓
,中正區,三元街,,,214號
,中正區,三元街,,,215號
,中正區,三元街,,,215號三樓
,中正區,三元街,,,215號二樓
,中正區,三元街,,,215號五樓
,中正區,三元街,,,215號四樓
,中正區,三元街,,,216號
,中正區,三元街,,,216號七樓
,中正區,三元街,,,216號七樓之1
,中正區,三元街,,,216號七樓之2
,中正區,三元街,,,216號七樓之3
,中正區,三元街,,,216號三樓
,中正區,三元街,,,216號三樓之1
,中正區,三元街,,,216號三樓之2
,中正區,三元街,,,216號三樓之3
,中正區,三元街,,,216號九樓
,中正區,三元街,,,216號九樓之1
,中正區,三元街,,,216號九樓之2
,中正區,三元街,,,216號九樓之3
,中正區,三元街,,,216號二樓
,中正區,三元街,,,216號二樓之1
,中正區,三元街,,,216號二樓之2
,中正區,三元街,,,216號五樓
,中正區,三元街,,,216號五樓之1
,中正區,三元街,,,216號五樓之2
,中正區,三元街,,,216號八樓
,中正區,三元街,,,216號八樓之1
,中正區,三元街,,,216號八樓之2
,中正區,三元街,,,216號八樓之3
,中正區,三元街,,,216號六樓
,中正區,三元街,,,216號六樓之1
,中正區,三元街,,,216號六樓之2
,中正區,三元街,,,216號六樓之3
,中正區,三元街,,,216號十樓
,中正區,三元街,,,216號十樓之1
,中正區,三元街,,,216號四樓
,中正區,三元街,,,216號四樓之1
,中正區,三元街,,,216號四樓之2
,中正區,三元街,,,216號四樓之3
,中正區,三元街,,,216號四樓之4
,中正區,三元街,,,216號四樓之5
,中正區,三元街,,,216號地下
,中正區,三元街,,,217號
,中正區,三元街,,,217號七樓
,中正區,三元街,,,217號七樓之1
,中正區,三元街,,,217號七樓之2
,中正區,三元街,,,217號七樓之3
,中正區,三元街,,,217號七樓之4
,中正區,三元街,,,217號七樓之5
,中正區,三元街,,,217號三樓
,中正區,三元街,,,217號三樓之1
,中正區,三元街,,,217號三樓之2
,中正區,三元街,,,217號三樓之3
,中正區,三元街,,,217號三樓之4
,中正區,三元街,,,217號三樓之5
,中正區,三元街,,,217號九樓
,中正區,三元街,,,217號九樓之1
,中正區,三元街,,,217號九樓之2
,中正區,三元街,,,217號九樓之3
,中正區,三元街,,,217號九樓之4
,中正區,三元街,,,217號九樓之5
,中正區,三元街,,,217號二樓
,中正區,三元街,,,217號五樓
,中正區,三元街,,,217號五樓之1
,中正區,三元街,,,217號五樓之2
,中正區,三元街,,,217號五樓之3
,中正區,三元街,,,217號五樓之4
,中正區,三元街,,,217號八樓
,中正區,三元街,,,217號八樓之1
,中正區,三元街,,,217號八樓之2
,中正區,三元街,,,217號八樓之3
,中正區,三元街,,,217號八樓之4
,中正區,三元街,,,217號八樓之5
,中正區,三元街,,,217號六樓
,中正區,三元街,,,217號六樓之1
,中正區,三元街,,,217號六樓之2
,中正區,三元街,,,217號六樓之3
,中正區,三元街,,,217號六樓之4
,中正區,三元街,,,217號十一樓
,中正區,三元街,,,217號十一樓之1
,中正區,三元街,,,217號十二樓
,中正區,三元街,,,217號十二樓之1
,中正區,三元街,,,217號十二樓之2
,中正區,三元街,,,217號十二樓之3
,中正區,三元街,,,217號十樓
,中正區,三元街,,,217號十樓之1
,中正區,三元街,,,217號十樓之2
,中正區,三元街,,,217號十樓之3
,中正區,三元街,,,217號十樓之4
,中正區,三元街,,,217號十樓之5
,中正區,三元街,,,217號四樓
,中正區,三元街,,,217號四樓之1
,中正區,三元街,,,217號四樓之2
,中正區,三元街,,,217號四樓之3
,中正區,三元街,,,217號四樓之5
,中正區,三元街,,,217號四樓之6
,中正區,三元街,,,217號地下一層
,中正區,三元街,,,218號
,中正區,三元街,,,220號
,中正區,三元街,,,225號
,中正區,三元街,,,226號
,中正區,三元街,,,226號三樓
,中正區,三元街,,,226號二樓
,中正區,三元街,,,226號四樓
,中正區,三元街,,,227號
,中正區,三元街,,,228號
,中正區,三元街,,,228號三樓
,中正區,三元街,,,228號二樓
,中正區,三元街,,,228號四樓
,中正區,三元街,,,229號
,中正區,三元街,,,229號七樓
,中正區,三元街,,,229號七樓之1
,中正區,三元街,,,229號三樓
,中正區,三元街,,,229號三樓之1
,中正區,三元街,,,229號二樓
,中正區,三元街,,,229號二樓之1
,中正區,三元街,,,229號五樓
,中正區,三元街,,,229號五樓之1
,中正區,三元街,,,229號六樓
,中正區,三元街,,,229號六樓之1
,中正區,三元街,,,229號四樓
,中正區,三元街,,,229號四樓之1
,中正區,三元街,,,22號
,中正區,三元街,,,232號
,中正區,三元街,,,232號七樓
,中正區,三元街,,,232號三樓
,中正區,三元街,,,232號二樓
,中正區,三元街,,,232號五樓
,中正區,三元街,,,232號六樓
,中正區,三元街,,,232號四樓
,中正區,三元街,,,232號地下
,中正區,三元街,,,233號七樓
,中正區,三元街,,,233號三樓
,中正區,三元街,,,233號九樓
,中正區,三元街,,,233號二樓
,中正區,三元街,,,233號五樓
,中正區,三元街,,,233號八樓
,中正區,三元街,,,233號六樓
,中正區,三元街,,,233號十一樓
,中正區,三元街,,,233號十二樓
,中正區,三元街,,,233號十樓
,中正區,三元街,,,233號四樓
,中正區,三元街,,,233號地下一層
,中正區,三元街,,,233號地下三層
,中正區,三元街,,,234號
,中正區,三元街,,,234號七樓
,中正區,三元街,,,234號三樓
,中正區,三元街,,,234號二樓
,中正區,三元街,,,234號五樓
