areacode,行政區,路名,巷,弄
65000150,五股區,中直路,,
65000150,五股區,中直路,崩山巷,
65000150,五股區,中興路一段,,
65000150,五股區,中興路一段,１巷,
65000150,五股區,中興路一段,１巷,１２弄
65000150,五股區,中興路一段,１１８巷,
65000150,五股區,中興路一段,１１８巷,６弄
65000150,五股區,中興路一段,１２８巷,
65000150,五股區,中興路一段,１４０巷,
65000150,五股區,中興路一段,１５０巷,
65000150,五股區,中興路一段,１５１巷,
65000150,五股區,中興路一段,１５１巷,１弄
65000150,五股區,中興路一段,１５１巷,２５弄
65000150,五股區,中興路一段,１５１巷,４３弄
65000150,五股區,中興路一段,１５１巷,６３弄
65000150,五股區,中興路一段,１５１巷,７弄
65000150,五股區,中興路一段,１７１巷,
65000150,五股區,中興路一段,１７６巷,
65000150,五股區,中興路一段,１７９巷,
65000150,五股區,中興路一段,２０３巷,
65000150,五股區,中興路一段,２５巷,
65000150,五股區,中興路一段,２６巷,
65000150,五股區,中興路一段,４６巷,
65000150,五股區,中興路一段,５１巷,
65000150,五股區,中興路一段,８８巷,
65000150,五股區,中興路一段,９５巷,
65000150,五股區,中興路一段,９５巷,１８弄
65000150,五股區,中興路一段,９５巷,４弄
65000150,五股區,中興路一段,９８巷,
65000150,五股區,中興路三段,,
65000150,五股區,中興路三段,４５巷,
65000150,五股區,中興路三段,５８巷,
65000150,五股區,中興路二段,,
65000150,五股區,中興路二段,１０３巷,
65000150,五股區,中興路二段,１５１巷,
65000150,五股區,中興路二段,１５７巷,
65000150,五股區,中興路二段,１６４巷,
65000150,五股區,中興路二段,１８２巷,
65000150,五股區,中興路二段,１８２巷,１５弄
65000150,五股區,中興路二段,３２巷,
65000150,五股區,中興路二段,３２巷,２弄
65000150,五股區,中興路二段,３７巷,
65000150,五股區,中興路二段,３７巷,１１弄
65000150,五股區,中興路二段,４０巷,
65000150,五股區,中興路二段,４９巷,
65000150,五股區,中興路二段,５２巷,
65000150,五股區,中興路二段,６３巷,
65000150,五股區,中興路二段,６８巷,
65000150,五股區,中興路二段,７５巷,
65000150,五股區,中興路二段,８３巷,
65000150,五股區,中興路二段,９巷,
