areacode,行政區,路名,巷,弄,號
,信義區,中坡北路,,,11號
,信義區,中坡北路,,,11號七樓
,信義區,中坡北路,,,11號三樓
,信義區,中坡北路,,,11號九樓
,信義區,中坡北路,,,11號二樓
,信義區,中坡北路,,,11號五樓
,信義區,中坡北路,,,11號八樓
,信義區,中坡北路,,,11號六樓
,信義區,中坡北路,,,11號十一樓
,信義區,中坡北路,,,11號十二樓
,信義區,中坡北路,,,11號十樓
,信義區,中坡北路,,,11號四樓
,信義區,中坡北路,,,13號
,信義區,中坡北路,,,13號七樓
,信義區,中坡北路,,,13號七樓之1
,信義區,中坡北路,,,13號三樓
,信義區,中坡北路,,,13號三樓之1
,信義區,中坡北路,,,13號九樓
,信義區,中坡北路,,,13號九樓之1
,信義區,中坡北路,,,13號二樓
,信義區,中坡北路,,,13號二樓之1
,信義區,中坡北路,,,13號五樓
,信義區,中坡北路,,,13號五樓之1
,信義區,中坡北路,,,13號八樓
,信義區,中坡北路,,,13號八樓之1
,信義區,中坡北路,,,13號六樓
,信義區,中坡北路,,,13號六樓之1
,信義區,中坡北路,,,13號十一樓
,信義區,中坡北路,,,13號十一樓之1
,信義區,中坡北路,,,13號十二樓
,信義區,中坡北路,,,13號十二樓之1
,信義區,中坡北路,,,13號十樓
,信義區,中坡北路,,,13號十樓之1
,信義區,中坡北路,,,13號四樓
,信義區,中坡北路,,,13號四樓之1
,信義區,中坡北路,,,17號
,信義區,中坡北路,,,17號七樓
,信義區,中坡北路,,,17號三樓
,信義區,中坡北路,,,17號二樓
,信義區,中坡北路,,,17號五樓
,信義區,中坡北路,,,17號六樓
,信義區,中坡北路,,,17號四樓
,信義區,中坡北路,,,19號
,信義區,中坡北路,,,19號七樓
,信義區,中坡北路,,,19號三樓
,信義區,中坡北路,,,19號二樓
,信義區,中坡北路,,,19號五樓
,信義區,中坡北路,,,19號六樓
,信義區,中坡北路,,,19號四樓
,信義區,中坡北路,,,1號
,信義區,中坡北路,,,1號七樓
,信義區,中坡北路,,,1號三樓
,信義區,中坡北路,,,1號九樓
,信義區,中坡北路,,,1號二樓
,信義區,中坡北路,,,1號五樓
,信義區,中坡北路,,,1號八樓
,信義區,中坡北路,,,1號六樓
,信義區,中坡北路,,,1號十一樓
,信義區,中坡北路,,,1號十二樓
,信義區,中坡北路,,,1號十樓
,信義區,中坡北路,,,1號四樓
,信義區,中坡北路,,,21號
,信義區,中坡北路,,,21號七樓
,信義區,中坡北路,,,21號三樓
,信義區,中坡北路,,,21號二樓
,信義區,中坡北路,,,21號五樓
,信義區,中坡北路,,,21號六樓
,信義區,中坡北路,,,21號四樓
,信義區,中坡北路,,,23號
,信義區,中坡北路,,,23號七樓
,信義區,中坡北路,,,23號三樓
,信義區,中坡北路,,,23號二樓
,信義區,中坡北路,,,23號五樓
,信義區,中坡北路,,,23號六樓
,信義區,中坡北路,,,23號四樓
,信義區,中坡北路,,,25號
,信義區,中坡北路,,,25號七樓
,信義區,中坡北路,,,25號三樓
,信義區,中坡北路,,,25號二樓
,信義區,中坡北路,,,25號五樓
,信義區,中坡北路,,,25號六樓
,信義區,中坡北路,,,25號四樓
,信義區,中坡北路,,,27號
,信義區,中坡北路,,,27號七樓
,信義區,中坡北路,,,27號三樓
,信義區,中坡北路,,,27號二樓
,信義區,中坡北路,,,27號五樓
,信義區,中坡北路,,,27號六樓
,信義區,中坡北路,,,27號四樓
,信義區,中坡北路,,,29號
,信義區,中坡北路,,,29號七樓
,信義區,中坡北路,,,29號三樓
,信義區,中坡北路,,,29號二樓
,信義區,中坡北路,,,29號五樓
,信義區,中坡北路,,,29號六樓
,信義區,中坡北路,,,29號四樓
,信義區,中坡北路,,,35號
,信義區,中坡北路,,,35號三樓
,信義區,中坡北路,,,35號二樓
,信義區,中坡北路,,,35號五樓
,信義區,中坡北路,,,35號四樓
,信義區,中坡北路,,,39號
,信義區,中坡北路,,,39號三樓
,信義區,中坡北路,,,39號二樓
,信義區,中坡北路,,,39號五樓
,信義區,中坡北路,,,39號四樓
,信義區,中坡北路,,,3號
,信義區,中坡北路,,,3號七樓
,信義區,中坡北路,,,3號三樓
,信義區,中坡北路,,,3號九樓
,信義區,中坡北路,,,3號二樓
,信義區,中坡北路,,,3號五樓
,信義區,中坡北路,,,3號八樓
,信義區,中坡北路,,,3號六樓
,信義區,中坡北路,,,3號十一樓
,信義區,中坡北路,,,3號十二樓
,信義區,中坡北路,,,3號十樓
,信義區,中坡北路,,,3號四樓
,信義區,中坡北路,,,41號
,信義區,中坡北路,,,41號三樓
,信義區,中坡北路,,,41號二樓
,信義區,中坡北路,,,41號五樓
,信義區,中坡北路,,,41號四樓
,信義區,中坡北路,,,45號
,信義區,中坡北路,,,45號三樓
,信義區,中坡北路,,,45號二樓
,信義區,中坡北路,,,45號五樓
,信義區,中坡北路,,,45號四樓
,信義區,中坡北路,,,47號
,信義區,中坡北路,,,47號三樓
,信義區,中坡北路,,,47號二樓
