areacode,行政區,路名,巷,弄
65000230,八里區,,,
65000230,八里區,,５１巷,
65000230,八里區,中山路,,
65000230,八里區,中山路一段,,
65000230,八里區,中山路一段,１２９巷,
65000230,八里區,中山路一段,１４９巷,
65000230,八里區,中山路一段,１５０巷,
65000230,八里區,中山路一段,１５７巷,
65000230,八里區,中山路一段,１８９巷,
65000230,八里區,中山路一段,１８９巷,７弄
65000230,八里區,中山路一段,２１７巷,
65000230,八里區,中山路一段,２６８巷,
65000230,八里區,中山路一段,２６８巷,５弄
65000230,八里區,中山路一段,３０６巷,
65000230,八里區,中山路一段,３９８巷,
65000230,八里區,中山路一段,３９８巷,５１弄
65000230,八里區,中山路一段,４３０巷,
65000230,八里區,中山路一段,６５巷,
65000230,八里區,中山路一段,８３巷,
65000230,八里區,中山路三段,,
65000230,八里區,中山路三段,７６巷,
65000230,八里區,中山路二段,,
65000230,八里區,中山路二段,１２９巷,
65000230,八里區,中山路二段,１２９巷,１弄
65000230,八里區,中山路二段,１２９巷,２弄
65000230,八里區,中山路二段,１６９巷,
65000230,八里區,中山路二段,２１０巷,
65000230,八里區,中山路二段,２５３巷,
65000230,八里區,中山路二段,２５５巷,
65000230,八里區,中山路二段,３０３巷,
65000230,八里區,中山路二段,３２３巷,
65000230,八里區,中山路二段,３５６巷,
65000230,八里區,中山路二段,４０６巷,
65000230,八里區,中山路二段,４４７巷,
65000230,八里區,中山路二段,４６６巷,
65000230,八里區,中山路二段,４６６巷,３６弄
65000230,八里區,中山路二段,５００巷,
65000230,八里區,中山路二段,５４０巷,
65000230,八里區,中山路二段,５４０巷,９弄
65000230,八里區,中山路二段,５８８巷,
65000230,八里區,中華路一段,,
65000230,八里區,中華路一段,３０９巷,
65000230,八里區,中華路一段,３３１巷,
65000230,八里區,中華路一段,７９巷,
65000230,八里區,中華路一段,７９巷,５弄
65000230,八里區,中華路一段,８１巷,
65000230,八里區,中華路一段,８１巷,１７弄
65000230,八里區,中華路三段,,
65000230,八里區,中華路三段,１３１巷,
65000230,八里區,中華路三段,１４５巷,
65000230,八里區,中華路三段,１５７巷,
65000230,八里區,中華路三段,３２巷,
65000230,八里區,中華路三段,４１巷,
65000230,八里區,中華路三段,７巷,
65000230,八里區,中華路三段,８８巷,
65000230,八里區,中華路三段,９９巷,
65000230,八里區,中華路二段,,
65000230,八里區,中華路二段,１１巷,
65000230,八里區,中華路二段,１６５巷,
65000230,八里區,中華路二段,１６５巷,１９弄
65000230,八里區,中華路二段,２０５巷,
65000230,八里區,中華路二段,２０５巷,２０弄
65000230,八里區,中華路二段,２０５巷,２１弄
65000230,八里區,中華路二段,２３５巷,
65000230,八里區,中華路二段,２５８巷,
65000230,八里區,中華路二段,３０８巷,
65000230,八里區,中華路二段,３０８巷,６弄
65000230,八里區,中華路二段,３０８巷,７弄
65000230,八里區,中華路二段,５６０巷,
65000230,八里區,仁一街,,
65000230,八里區,仁三街,,
65000230,八里區,仁愛路,,
65000230,八里區,十三行路,,
65000230,八里區,博物館路,,
65000230,八里區,博物館路,２０２巷,
65000230,八里區,商港一路,,
65000230,八里區,商港七路,,
65000230,八里區,商港三路,,
65000230,八里區,商港二路,,
65000230,八里區,商港五路,,
65000230,八里區,商港八路,,
65000230,八里區,商港六路,,
65000230,八里區,商港路,,
65000230,八里區,商港路,６３巷,
65000230,八里區,四維街,,
65000230,八里區,埤頭一街,,
65000230,八里區,埤頭二街,,
65000230,八里區,埤頭二街,６７巷,
65000230,八里區,大崁一街,,
65000230,八里區,大崁三街,,
65000230,八里區,大崁二街,,
65000230,八里區,忠七街,,
65000230,八里區,忠二街,,
65000230,八里區,忠五街,,
65000230,八里區,忠八街,,
65000230,八里區,忠六街,,
65000230,八里區,忠四街,,
65000230,八里區,忠孝路,,
65000230,八里區,忠孝路,５７巷,
65000230,八里區,忠孝路,８８巷,
65000230,八里區,挖子尾街,,
65000230,八里區,挖子尾街,４２巷,
65000230,八里區,挖子尾街,４２巷,６弄
65000230,八里區,文化街,,
65000230,八里區,文心街,,
65000230,八里區,文心街,５０巷,
65000230,八里區,文昌一街,,
65000230,八里區,文昌七街,,
65000230,八里區,文昌三街,,
65000230,八里區,文昌二街,,
65000230,八里區,文昌五街,,
65000230,八里區,文昌六街,,
65000230,八里區,文昌路,,
65000230,八里區,民享街,,
65000230,八里區,民有街,,
65000230,八里區,民治街,,
65000230,八里區,渡船頭街,,
65000230,八里區,渡船頭街,１１巷,
65000230,八里區,渡船頭街,２１巷,
65000230,八里區,狀元路,,
65000230,八里區,義民街,,
65000230,八里區,舊城路,,
65000230,八里區,荖阡坑路,,
65000230,八里區,華峰一街,,
65000230,八里區,華峰一街,７０巷,
65000230,八里區,華峰三街,,
65000230,八里區,華峰二街,,
65000230,八里區,訊埔路,,
65000230,八里區,訊塘二路,,
65000230,八里區,訊塘路,,
65000230,八里區,賢一街,,
65000230,八里區,賢一街,５５巷,
65000230,八里區,賢三街,,
65000230,八里區,賢三街,１１２巷,
65000230,八里區,賢三街,１６８巷,
65000230,八里區,賢三街,２５巷,
65000230,八里區,賢二街,,
65000230,八里區,頂寮一街,,
65000230,八里區,頂寮一街,２８巷,
65000230,八里區,頂寮三街,,
65000230,八里區,頂寮三街,５２巷,
65000230,八里區,頂寮二街,,
