areacode,行政區,路名,巷,弄,號
,北投區,一德街,,,12號
,北投區,一德街,,,14號
,北投區,一德街,,,16號
,北投區,一德街,,,18號
,北投區,一德街,,,20號
,北投區,一德街,,,22號
,北投區,一德街,,,28號
,北投區,一德街,,,38號
,北投區,一德街,,,40號
,北投區,一德街,,,42號
,北投區,一德街,,,44號
,北投區,一德街,,,46號
,北投區,一德街,,,50號
,北投區,一德街,,,50號三樓
,北投區,一德街,,,50號三樓之1
,北投區,一德街,,,50號二樓
,北投區,一德街,,,50號二樓之1
,北投區,一德街,,,50號五樓
,北投區,一德街,,,50號四樓
,北投區,一德街,,,50號四樓之1
,北投區,一德街,,,52號
,北投區,一德街,,,52號三樓
,北投區,一德街,,,52號三樓之1
,北投區,一德街,,,52號二樓
,北投區,一德街,,,52號二樓之1
,北投區,一德街,,,52號五樓
,北投區,一德街,,,52號五樓之1
,北投區,一德街,,,52號四樓
,北投區,一德街,,,52號四樓之1
,北投區,一德街,,,58號
,北投區,一德街,,,75之2號
,北投區,一德街,,,75之5號
,北投區,一德街,,,75號
,北投區,一德街,,,76號
,北投區,一德街,10巷,,11號
,北投區,一德街,10巷,,11號三樓
,北投區,一德街,10巷,,11號二樓
,北投區,一德街,10巷,,11號四樓
,北投區,一德街,10巷,,13號
,北投區,一德街,10巷,,13號三樓
,北投區,一德街,10巷,,13號二樓
,北投區,一德街,10巷,,13號四樓
,北投區,一德街,10巷,,15號
,北投區,一德街,10巷,,15號三樓
,北投區,一德街,10巷,,15號二樓
,北投區,一德街,10巷,,15號四樓
,北投區,一德街,10巷,,5號
,北投區,一德街,10巷,,5號三樓
,北投區,一德街,10巷,,5號二樓
,北投區,一德街,10巷,,5號四樓
,北投區,一德街,10巷,,7號
,北投區,一德街,10巷,,7號三樓
,北投區,一德街,10巷,,7號二樓
,北投區,一德街,10巷,,7號四樓
,北投區,一德街,10巷,,9號
,北投區,一德街,10巷,,9號三樓
,北投區,一德街,10巷,,9號二樓
,北投區,一德街,10巷,,9號四樓
,北投區,一德街,36巷,,1號
,北投區,一德街,36巷,,2號
,北投區,一德街,36巷,,5號
,北投區,一德街,36巷,,7號
,北投區,一德街,74巷,,10號
,北投區,一德街,74巷,,3之1號
,北投區,一德街,74巷,,3號
,北投區,一德街,74巷,,5號
,北投區,一德街,74巷,,6號
,北投區,一心路,,,2號
,北投區,一心路,,,2號三樓
,北投區,一心路,,,2號二樓
,北投區,一心路,,,2號五樓
,北投區,一心路,,,2號四樓
,北投區,一心路,,,30號
,北投區,一心路,,,30號三樓
,北投區,一心路,,,30號二樓
,北投區,一心路,,,42號
,北投區,一心路,,,44號
,北投區,一心路,1巷,,1號
,北投區,一心路,1巷,,1號三樓
,北投區,一心路,1巷,,1號二樓
,北投區,一心路,1巷,,1號五樓
,北投區,一心路,1巷,,1號四樓
,北投區,一心路,1巷,,3號
,北投區,一心路,1巷,,3號三樓
,北投區,一心路,1巷,,3號二樓
,北投區,一心路,1巷,,3號五樓
,北投區,一心路,1巷,,3號四樓
,北投區,一心路,1巷,,5號
,北投區,一心路,1巷,,5號三樓
,北投區,一心路,1巷,,5號二樓
,北投區,一心路,1巷,,5號五樓
,北投區,一心路,1巷,,5號四樓
,北投區,一心路,1巷,,7號
,北投區,一心路,1巷,,7號三樓
,北投區,一心路,1巷,,7號二樓
,北投區,一心路,1巷,,7號五樓
,北投區,一心路,1巷,,7號四樓
,北投區,一心路,32巷,,10號
,北投區,一心路,32巷,,10號三樓
,北投區,一心路,32巷,,10號二樓
,北投區,一心路,32巷,,10號五樓
,北投區,一心路,32巷,,10號四樓
,北投區,一心路,32巷,,12號
,北投區,一心路,32巷,,12號三樓
,北投區,一心路,32巷,,12號二樓
,北投區,一心路,32巷,,12號五樓
,北投區,一心路,32巷,,12號四樓
,北投區,一心路,32巷,,14號
,北投區,一心路,32巷,,14號三樓
,北投區,一心路,32巷,,14號二樓
,北投區,一心路,32巷,,14號五樓
,北投區,一心路,32巷,,14號四樓
,北投區,一心路,32巷,,16號
,北投區,一心路,32巷,,16號三樓
,北投區,一心路,32巷,,16號二樓
,北投區,一心路,32巷,,16號五樓
,北投區,一心路,32巷,,16號四樓
,北投區,一心路,32巷,,18號
,北投區,一心路,32巷,,18號三樓
,北投區,一心路,32巷,,18號二樓
,北投區,一心路,32巷,,18號五樓
,北投區,一心路,32巷,,18號四樓
,北投區,一心路,32巷,,20號
,北投區,一心路,32巷,,20號三樓
,北投區,一心路,32巷,,20號二樓
,北投區,一心路,32巷,,20號五樓
,北投區,一心路,32巷,,20號四樓
