areacode,行政區,路名,巷,弄,號
,南港區,三重路,,,10號
,南港區,三重路,,,11號
,南港區,三重路,,,11號二樓
,南港區,三重路,,,12號
,南港區,三重路,,,13號
,南港區,三重路,,,14號
,南港區,三重路,,,16號
,南港區,三重路,,,17號
,南港區,三重路,,,17號三樓
,南港區,三重路,,,17號二樓
,南港區,三重路,,,17號四樓
,南港區,三重路,,,18號
,南港區,三重路,,,19之10號
,南港區,三重路,,,19之10號二樓
,南港區,三重路,,,19之11號
,南港區,三重路,,,19之11號七樓
,南港區,三重路,,,19之11號三樓
,南港區,三重路,,,19之11號九樓
,南港區,三重路,,,19之11號二樓
,南港區,三重路,,,19之11號五樓
,南港區,三重路,,,19之11號八樓
,南港區,三重路,,,19之11號六樓
,南港區,三重路,,,19之11號十一樓
,南港區,三重路,,,19之11號十三樓
,南港區,三重路,,,19之11號十二樓
,南港區,三重路,,,19之11號十五樓
,南港區,三重路,,,19之11號十四樓
,南港區,三重路,,,19之11號十樓
,南港區,三重路,,,19之11號四樓
,南港區,三重路,,,19之12號
,南港區,三重路,,,19之13號
,南港區,三重路,,,19之13號七樓
,南港區,三重路,,,19之13號三樓
,南港區,三重路,,,19之13號九樓
,南港區,三重路,,,19之13號二樓
,南港區,三重路,,,19之13號五樓
,南港區,三重路,,,19之13號八樓
,南港區,三重路,,,19之13號八樓之1
,南港區,三重路,,,19之13號六樓
,南港區,三重路,,,19之13號十一樓
,南港區,三重路,,,19之13號十三樓
,南港區,三重路,,,19之13號十二樓
,南港區,三重路,,,19之13號十五樓
,南港區,三重路,,,19之13號十四樓
,南港區,三重路,,,19之13號十樓
,南港區,三重路,,,19之13號四樓
,南港區,三重路,,,19之14號
,南港區,三重路,,,19之15號
,南港區,三重路,,,19之16號
,南港區,三重路,,,19之1號
,南港區,三重路,,,19之1號三樓
,南港區,三重路,,,19之1號二樓
,南港區,三重路,,,19之1號五樓
,南港區,三重路,,,19之1號四樓
,南港區,三重路,,,19之2號
,南港區,三重路,,,19之2號七樓
,南港區,三重路,,,19之2號七樓之1
