areacode,行政區,路名,巷,弄
65000130,土城區,,,
65000130,土城區,三民路,,
65000130,土城區,三民路,２３巷,
65000130,土城區,三民路,２３巷,１弄
65000130,土城區,三民路,２３巷,８弄
65000130,土城區,三民路,４１巷,
65000130,土城區,三民路,４９巷,
65000130,土城區,三民路,６１巷,
65000130,土城區,中央路一段,,
65000130,土城區,中央路一段,１巷,
65000130,土城區,中央路一段,１１８巷,１弄
65000130,土城區,中央路一段,１２１巷,
65000130,土城區,中央路一段,１２１巷,１０弄
65000130,土城區,中央路一段,１２１巷,２３弄
65000130,土城區,中央路一段,１２１巷,６弄
65000130,土城區,中央路一段,１２１巷,８弄
65000130,土城區,中央路一段,１４３巷,
65000130,土城區,中央路一段,１４３巷,２弄
65000130,土城區,中央路一段,１５６巷,
65000130,土城區,中央路一段,１８４巷,
65000130,土城區,中央路一段,１８８巷,
65000130,土城區,中央路一段,１８９巷,
65000130,土城區,中央路一段,１９２巷,
65000130,土城區,中央路一段,１９２巷,１１弄
65000130,土城區,中央路一段,２０巷,
65000130,土城區,中央路一段,２０７巷,
65000130,土城區,中央路一段,２１１巷,
65000130,土城區,中央路一段,２１１巷,６弄
65000130,土城區,中央路一段,２４２巷,
65000130,土城區,中央路一段,２４２巷,２弄
65000130,土城區,中央路一段,２４２巷,８弄
65000130,土城區,中央路一段,２４９巷,
65000130,土城區,中央路一段,２４９巷,１０弄
65000130,土城區,中央路一段,２４９巷,２９弄
65000130,土城區,中央路一段,２５０巷,
65000130,土城區,中央路一段,２５６巷,
65000130,土城區,中央路一段,２６０巷,
65000130,土城區,中央路一段,２６２巷,
65000130,土城區,中央路一段,２６７巷,
65000130,土城區,中央路一段,２７７巷,
65000130,土城區,中央路一段,２９１巷,
65000130,土城區,中央路一段,２９２巷,
65000130,土城區,中央路一段,２９２巷,１０弄
65000130,土城區,中央路一段,２９２巷,１２弄
65000130,土城區,中央路一段,２９２巷,２弄
65000130,土城區,中央路一段,３１８巷,
65000130,土城區,中央路一段,３１８巷,１３弄
65000130,土城區,中央路一段,３１８巷,１９弄
65000130,土城區,中央路一段,３１８巷,３弄
65000130,土城區,中央路一段,３１８巷,４弄
65000130,土城區,中央路一段,３４７巷,
65000130,土城區,中央路一段,３５２巷,
65000130,土城區,中央路一段,３６５巷,
65000130,土城區,中央路一段,３６５巷,１弄
65000130,土城區,中央路一段,３６５巷,１８弄
65000130,土城區,中央路一段,３６５巷,２７弄
65000130,土城區,中央路一段,３６５巷,３０弄
65000130,土城區,中央路一段,４５巷,
65000130,土城區,中央路一段,４５巷,２弄
65000130,土城區,中央路一段,４５巷,２２弄
65000130,土城區,中央路一段,６９巷,
65000130,土城區,中央路一段,９６巷,
65000130,土城區,中央路三段,,
65000130,土城區,中央路三段,１１６巷,
65000130,土城區,中央路三段,１２６巷,
65000130,土城區,中央路三段,１２６巷,１弄
65000130,土城區,中央路三段,１２６巷,２５弄
65000130,土城區,中央路三段,１２６巷,３弄
65000130,土城區,中央路三段,１２６巷,３６弄
65000130,土城區,中央路三段,１３８巷,
65000130,土城區,中央路三段,１４７巷,２弄
65000130,土城區,中央路三段,１６０巷,
65000130,土城區,中央路三段,１６２巷,
65000130,土城區,中央路三段,１８４巷,
65000130,土城區,中央路三段,２３５巷,
65000130,土城區,中央路三段,２３９巷,
65000130,土城區,中央路三段,２４０巷,
65000130,土城區,中央路三段,２４４巷,
65000130,土城區,中央路三段,２４９巷,
65000130,土城區,中央路三段,２６２巷,
65000130,土城區,中央路三段,２８１巷,
65000130,土城區,中央路三段,２８１巷,１１弄
65000130,土城區,中央路三段,２８１巷,１５弄
65000130,土城區,中央路三段,２８１巷,２弄
65000130,土城區,中央路三段,２８１巷,２３弄
65000130,土城區,中央路三段,２８１巷,６弄
65000130,土城區,中央路三段,６１巷,
65000130,土城區,中央路三段,７６巷,
65000130,土城區,中央路三段,７６巷,１２弄
65000130,土城區,中央路三段,７６巷,４１弄
65000130,土城區,中央路三段,７６巷,４９弄
65000130,土城區,中央路三段,７６巷,５０弄
65000130,土城區,中央路三段,８９巷,
65000130,土城區,中央路三段,９８巷,
65000130,土城區,中央路二段,,
65000130,土城區,中央路二段,１１５巷,
65000130,土城區,中央路二段,１２１巷,
65000130,土城區,中央路二段,１４巷,
65000130,土城區,中央路二段,１４巷,１７弄
65000130,土城區,中央路二段,１４巷,２弄
65000130,土城區,中央路二段,１４９巷,
65000130,土城區,中央路二段,１４９巷,１０弄
65000130,土城區,中央路二段,１４９巷,１５弄
65000130,土城區,中央路二段,１４９巷,３０弄
65000130,土城區,中央路二段,１６４巷,
65000130,土城區,中央路二段,１７７巷,
65000130,土城區,中央路二段,１８０巷,
65000130,土城區,中央路二段,１８９巷,
65000130,土城區,中央路二段,１９２巷,
65000130,土城區,中央路二段,１９２巷,１弄
65000130,土城區,中央路二段,２１巷,
65000130,土城區,中央路二段,２１３巷,
65000130,土城區,中央路二段,２７０巷,
65000130,土城區,中央路二段,２７８巷,
65000130,土城區,中央路二段,２７８巷,５弄
65000130,土城區,中央路二段,３０６巷,
65000130,土城區,中央路二段,３１６巷,
65000130,土城區,中央路二段,３１６巷,１弄
65000130,土城區,中央路二段,３４６巷,
65000130,土城區,中央路二段,３９０巷,
65000130,土城區,中央路二段,３９４巷,
65000130,土城區,中央路二段,３９６巷,
65000130,土城區,中央路二段,５０巷,
65000130,土城區,中央路二段,５０巷,１６弄
65000130,土城區,中央路二段,５０巷,２弄
65000130,土城區,中央路二段,５７巷,
65000130,土城區,中央路二段,６１巷,
65000130,土城區,中央路二段,６１巷,２４弄
65000130,土城區,中央路二段,６１巷,３４弄
65000130,土城區,中央路二段,６１巷,４４弄
65000130,土城區,中央路二段,６１巷,５０弄
65000130,土城區,中央路二段,８０巷,
65000130,土城區,中央路二段,８０巷,１１弄
65000130,土城區,中央路二段,８０巷,４弄
65000130,土城區,中央路二段,８０巷,８弄
65000130,土城區,中央路四段,,
65000130,土城區,中央路四段,１０１巷,
65000130,土城區,中央路四段,１１８巷,
65000130,土城區,中央路四段,１２５巷,
65000130,土城區,中央路四段,１２５巷,２弄
65000130,土城區,中央路四段,１２５巷,９弄
65000130,土城區,中央路四段,１６５巷,
65000130,土城區,中央路四段,１８５巷,
65000130,土城區,中央路四段,１８５巷,３０弄
65000130,土城區,中央路四段,１８５巷,３２弄
65000130,土城區,中央路四段,１８５巷,４０弄
65000130,土城區,中央路四段,１８５巷,５５弄
65000130,土城區,中央路四段,１９４巷,
65000130,土城區,中央路四段,２０６巷,
65000130,土城區,中央路四段,２７巷,
65000130,土城區,中央路四段,２７巷,１０弄
65000130,土城區,中央路四段,２７１巷,
65000130,土城區,中央路四段,２７５巷,
65000130,土城區,中央路四段,２７９巷,
65000130,土城區,中央路四段,２９３巷,
65000130,土城區,中央路四段,３２１巷,
65000130,土城區,中央路四段,３２１巷,３４弄
65000130,土城區,中央路四段,３４９巷,
65000130,土城區,中央路四段,３７巷,
65000130,土城區,中央路四段,３８６巷,
65000130,土城區,中央路四段,３９６巷,
65000130,土城區,中央路四段,４１０巷,
65000130,土城區,中央路四段,４３８巷,
65000130,土城區,中央路四段,４６巷,
65000130,土城區,中央路四段,４６巷,１５弄
65000130,土城區,中央路四段,４６巷,９弄
65000130,土城區,中央路四段,５２巷,
65000130,土城區,中央路四段,５４巷,
65000130,土城區,中央路四段,６７巷,
65000130,土城區,中央路四段,６７巷,２弄
65000130,土城區,中央路四段,６８巷,
65000130,土城區,中央路四段,８６巷,
65000130,土城區,中山路,,
65000130,土城區,中山路,３９巷,
65000130,土城區,中山路,４巷,
65000130,土城區,中州路,,
