行政區,street、road、section,lane,alley
新店區,,,
新店區,三民路,,
新店區,三民路,１１７巷,１弄
新店區,三民路,１１７巷,２弄
新店區,三民路,１１７巷,３弄
新店區,三民路,１１７巷,４弄
新店區,三民路,１１７巷,５弄
新店區,三民路,１１７巷,６弄
新店區,三民路,１１７巷,７弄
新店區,三民路,１１７巷,８弄
新店區,三民路,１４３巷,
新店區,三民路,１４３巷,２８弄
新店區,三民路,１４３巷,３０弄
新店區,三民路,１５３巷,
新店區,三民路,１５９巷,
新店區,三民路,１５９巷,１９弄
新店區,三民路,２０巷,
新店區,三民路,２１巷,
新店區,三民路,２２巷,
新店區,三民路,２９巷,
新店區,三民路,２９巷,２弄
新店區,三民路,２９巷,４弄
新店區,三民路,３５巷,
新店區,三民路,５１巷,
新店區,三民路,５１巷,１弄
新店區,三民路,５１巷,３弄
新店區,三民路,５１巷,５弄
新店區,三民路,５１巷,７弄
新店區,三民路,６０巷,
新店區,三民路,７５巷,
新店區,三民路,７５巷,１弄
新店區,三民路,７５巷,１６弄
新店區,三民路,７５巷,２弄
新店區,三民路,７５巷,３弄
新店區,三民路,７５巷,４弄
新店區,三民路,７５巷,５弄
新店區,三民路,７５巷,７弄
新店區,三民路,７５巷,９弄
新店區,三民路,８４巷,
新店區,三民路,９４巷,
新店區,下石厝路,,
新店區,中央一街,,
新店區,中央七街,,
新店區,中央七街,６１巷,
新店區,中央三街,,
新店區,中央三街,１２１巷,
新店區,中央二街,,
新店區,中央二街,５巷,
新店區,中央五街,,
新店區,中央八街,,
新店區,中央六街,,
新店區,中央四街,,
新店區,中央路,,
新店區,中央路,１巷,
新店區,中央路,１０５巷,
新店區,中央路,１２７巷,
新店區,中央路,１３３巷,
新店區,中央路,１３３巷,１５弄
新店區,中央路,１３３巷,２０弄
新店區,中央路,１３３巷,２７弄
新店區,中央路,１３３巷,３２弄
新店區,中央路,１３９巷,２弄
新店區,中央路,９５巷,
新店區,中山路,,
新店區,中山路,３１巷,
新店區,中正路,,
新店區,中正路,四維巷,
新店區,中正路,四維巷,１弄
新店區,中正路,四維巷,２弄
新店區,中正路,四維巷,８弄
新店區,中正路,１巷,
新店區,中正路,１０２巷,
新店區,中正路,１０２巷,６弄
新店區,中正路,１０２巷,８弄
新店區,中正路,１０２巷,９弄
新店區,中正路,１１７巷,
新店區,中正路,１２８巷,
新店區,中正路,１２８巷,７弄
新店區,中正路,１２８巷,９弄
新店區,中正路,１４４巷,
新店區,中正路,１４９巷,
新店區,中正路,１５４巷,
新店區,中正路,１８２巷,
新店區,中正路,１８２巷,６弄
新店區,中正路,１８３巷,
新店區,中正路,１８９巷,
新店區,中正路,１８９巷,１６弄
新店區,中正路,２３０巷,
新店區,中正路,２３１巷,
新店區,中正路,２４７巷,
新店區,中正路,２４７巷,１弄
新店區,中正路,２４７巷,２４弄
