行政區,路名,巷,弄
新莊區,八德街,,
新莊區,八德街,１２巷,
新莊區,八德街,１２巷,２弄
新莊區,八德街,１２巷,８弄
新莊區,八德街,１５巷,
新莊區,八德街,１９巷,
新莊區,八德街,５８巷,
新莊區,八德街,５８巷,８弄
新莊區,八德街,５８巷,１８弄
新莊區,八德街,６８巷,
新莊區,八德街,７８巷,
新莊區,八德街,８８巷,
新莊區,八德街,９５巷,
新莊區,八德街,９５巷,１弄
新莊區,八德街,９５巷,２弄
新莊區,八德街,９５巷,３弄
新莊區,八德街,９５巷,４弄
新莊區,八德街,９８巷,
新莊區,八德街,１０８巷,
新莊區,八德街,１１３巷,
新莊區,八德街,１１８巷,
新莊區,八德街,１２８巷,
新莊區,八德街,１３３巷,
新莊區,八德街,１３３巷,２弄
新莊區,八德街,１３３巷,４弄
新莊區,八德街,１３８巷,
新莊區,八德街,１４８巷,
新莊區,八德街,１５３巷,
新莊區,八德街,１５８巷,
新莊區,三和路,,
新莊區,三和路一段,,
新莊區,三和路一段,２７巷,
新莊區,三和路一段,３２巷,
新莊區,三和路一段,３９巷,
新莊區,三和路一段,４７巷,
新莊區,三和路二段,,
新莊區,三和路二段,１３巷,
新莊區,三和路二段,２１巷,
新莊區,三和路二段,４３巷,
新莊區,三和路二段,４７巷,
新莊區,三和路二段,１４４巷,
新莊區,三和路二段,１５４巷,
新莊區,三和路二段,１６８巷,
新莊區,三和路二段,１７３巷,
新莊區,三和路三段,,
新莊區,三和路三段,１１巷,
新莊區,三和路三段,１１巷,３弄
新莊區,三和路三段,１６巷,
新莊區,三和路三段,３５巷,
新莊區,三和路三段,４６巷,
新莊區,三和路三段,４７巷,
新莊區,三和路三段,８３巷,
新莊區,三和路三段,９１巷,
新莊區,三和路三段,１０１巷,
新莊區,三和路三段,１０７巷,
新莊區,三和路三段,１１３巷,
新莊區,三和路三段,１２５巷,
新莊區,三和路三段,１３９巷,
新莊區,三和路三段,１４４巷,
新莊區,三和路三段,１５１巷,
新莊區,三和路三段,１６７巷,
新莊區,三和路三段,１７０巷,
新莊區,三和路三段,１７０巷,７弄
新莊區,三和路三段,１７０巷,８弄
新莊區,三和路四段,,
新莊區,三和路四段,１４巷,
新莊區,三和路四段,２０巷,
新莊區,三和路四段,３２巷,
新莊區,三和路四段,４４巷,
新莊區,三和路四段,８９巷,
新莊區,三和路四段,１０１巷,
新莊區,三和路四段,１０１巷,１２弄
新莊區,三和路四段,１０１巷,１４弄
新莊區,三和路四段,１１７巷,
新莊區,三和路四段,１１８巷,
新莊區,三和路四段,１２５巷,
新莊區,三和路四段,１３５巷,
新莊區,三和路四段,１３８巷,
新莊區,三和路四段,１４５巷,
新莊區,三和路四段,１５５巷,
新莊區,三和路四段,１６０巷,
新莊區,三和路四段,１６３巷,
新莊區,三和路四段,１６７巷,
新莊區,三和路四段,１８１巷,
新莊區,三和路四段,１９１巷,
新莊區,三和路四段,２０３巷,
新莊區,三和路四段,２１５巷,
新莊區,三和路四段,２１８巷,
新莊區,三和路四段,２３１巷,
新莊區,三和路四段,２６４巷,
新莊區,三和路四段,２６４巷,２弄
新莊區,三和路四段,２６４巷,６弄
新莊區,三和路四段,２７４巷,
新莊區,三和路四段,２９２巷,
新莊區,三和路四段,３００巷,
新莊區,三和路四段,３８２巷,
新莊區,三和路四段,３８２巷,４０弄
新莊區,三和路四段,３８２巷,４６弄
新莊區,三和路四段,３８２巷,９２弄
新莊區,三和路四段,３８２巷,９４弄
新莊區,三和路四段,３８２巷,９６弄
新莊區,三和路四段,３９０巷,
新莊區,三和路四段,３９６巷,
新莊區,三和路四段,４００巷,
新莊區,三和路四段,４０６巷,
新莊區,三泰路,,
新莊區,大安路,,
新莊區,大安路,１０巷,
新莊區,大安路,１４巷,
新莊區,大安路,３０巷,
新莊區,大觀街,,
新莊區,大觀街,１４巷,
新莊區,大觀街,４２巷,
新莊區,大觀街,４２巷,１１弄
新莊區,中央路,,
新莊區,中平路,,
新莊區,中平路,６巷,
新莊區,中平路,８巷,
新莊區,中平路,２６巷,
新莊區,中平路,３６巷,
新莊區,中平路,４６巷,
新莊區,中平路,７１巷,
新莊區,中平路,８１巷,
新莊區,中平路,８２巷,
新莊區,中平路,８２巷,３０弄
新莊區,中平路,８７巷,
新莊區,中平路,９０巷,
新莊區,中平路,９２巷,
新莊區,中平路,１１０巷,
新莊區,中平路,１１８巷,
新莊區,中平路,１１９巷,
新莊區,中平路,１２９巷,
新莊區,中平路,１３２巷,
新莊區,中平路,１３２巷,１弄
新莊區,中平路,１３２巷,３弄
新莊區,中平路,１３２巷,１０弄
新莊區,中平路,１５２巷,
新莊區,中平路,１５２巷,１３弄
新莊區,中平路,１５２巷,４７弄
新莊區,中平路,１８４巷,
新莊區,中平路,１８４巷,１０弄
新莊區,中平路,１９８巷,
新莊區,中平路,２７０巷,
新莊區,中平路,２７０巷,７弄
新莊區,中平路,２７０巷,１０弄
