areacode,行政區,路名,巷,弄
65000170,林口區,,,
65000170,林口區,三民路,,
65000170,林口區,三民路,１１２巷,
65000170,林口區,三民路,１７５巷,
65000170,林口區,中北一街,,
65000170,林口區,中北一街,１５巷,
65000170,林口區,中北一街,１７巷,
65000170,林口區,中北一街,４９巷,
65000170,林口區,中北三街,,
65000170,林口區,中北三街,１３８巷,
65000170,林口區,中北三街,１７６巷,
65000170,林口區,中北二街,,
65000170,林口區,中北二街,１９巷,
65000170,林口區,中原街,,
65000170,林口區,中山路,,
65000170,林口區,中山路,１２３巷,
65000170,林口區,中山路,１４２巷,
65000170,林口區,中山路,１５５巷,
65000170,林口區,中山路,１６０巷,
65000170,林口區,中山路,２９巷,
65000170,林口區,中山路,２９７巷,
65000170,林口區,中山路,４１２巷,
65000170,林口區,中山路,６９巷,
65000170,林口區,中山路,８１巷,
65000170,林口區,中山路,９７巷,
65000170,林口區,中山路,９７巷,１１弄
65000170,林口區,中正路,,
65000170,林口區,中正路,２０６巷,
65000170,林口區,中正路,２４４巷,
65000170,林口區,中正路,２５７巷,
65000170,林口區,中正路,２６４巷,
65000170,林口區,中正路,２９６巷,
65000170,林口區,中正路,２９６巷,１１弄
65000170,林口區,中正路,３０巷,
65000170,林口區,中正路,３４５巷,１弄
65000170,林口區,中正路,４０巷,
65000170,林口區,中正路,４１巷,
65000170,林口區,中正路,４１巷,１弄
65000170,林口區,中正路,４７６巷,
65000170,林口區,中正路,５０５巷,
65000170,林口區,中正路,５１４巷,
65000170,林口區,中正路,５１４巷,４弄
65000170,林口區,中正路,５１４巷,６弄
65000170,林口區,中正路,５２５巷,
65000170,林口區,中正路,５７巷,
65000170,林口區,中正路,５７巷,１２弄
65000170,林口區,中正路,５７巷,７弄
65000170,林口區,中正路,７４巷,
65000170,林口區,中正路,７４巷,３弄
65000170,林口區,中正路,７４巷,５弄
65000170,林口區,中正路,９６巷,
65000170,林口區,中正路,９６巷,１２弄
65000170,林口區,中正路,９６巷,９弄
65000170,林口區,中興街,,
65000170,林口區,中興街,１巷,
65000170,林口區,中華一路,,
65000170,林口區,中華路,,
65000170,林口區,中華路,２２３巷,
65000170,林口區,井泉街,,
65000170,林口區,仁愛二路,,
65000170,林口區,仁愛二路,３１巷,
65000170,林口區,仁愛路一段,,
65000170,林口區,仁愛路一段,１巷,
65000170,林口區,仁愛路一段,１０３巷,
65000170,林口區,仁愛路一段,１２３巷,
65000170,林口區,仁愛路一段,１３９巷,
65000170,林口區,仁愛路一段,１５９巷,
65000170,林口區,仁愛路一段,１６７巷,
65000170,林口區,仁愛路一段,２１１巷,
65000170,林口區,仁愛路一段,２６１巷,
65000170,林口區,仁愛路一段,２７２巷,
65000170,林口區,仁愛路一段,２７２巷,３６弄
65000170,林口區,仁愛路一段,２７２巷,４２弄
65000170,林口區,仁愛路一段,２８巷,
65000170,林口區,仁愛路一段,２８５巷,
65000170,林口區,仁愛路一段,２９０巷,
65000170,林口區,仁愛路一段,３１５巷,
65000170,林口區,仁愛路一段,３３５巷,
65000170,林口區,仁愛路一段,３８６巷,
65000170,林口區,仁愛路一段,３９巷,
65000170,林口區,仁愛路一段,４８巷,
65000170,林口區,仁愛路一段,６１巷,
65000170,林口區,仁愛路一段,６３７巷,
65000170,林口區,仁愛路一段,６５７巷,
65000170,林口區,仁愛路一段,６６７巷,
65000170,林口區,仁愛路一段,８３巷,
65000170,林口區,仁愛路二段,,
65000170,林口區,仁愛路二段,１０６巷,
65000170,林口區,仁愛路二段,１３８巷,
65000170,林口區,仁愛路二段,１９２巷,
65000170,林口區,仁愛路二段,１９２巷,１６弄
65000170,林口區,仁愛路二段,２６７巷,
65000170,林口區,仁愛路二段,６巷,
65000170,林口區,仁愛路二段,６巷,５弄
65000170,林口區,仁愛路二段,６２巷,
65000170,林口區,佳林路,,
65000170,林口區,佳林路,１０１巷,
