areacode,行政區,路名,巷,弄
65000070,樹林區,?智街,７７巷,
65000070,樹林區,三俊街,,
65000070,樹林區,三俊街,１０７巷,
65000070,樹林區,三俊街,１２６巷,
65000070,樹林區,三俊街,１３５巷,
65000070,樹林區,三俊街,１５９巷,
65000070,樹林區,三俊街,１９巷,
65000070,樹林區,三俊街,１９９巷,
65000070,樹林區,三俊街,１９９巷,１２弄
65000070,樹林區,三俊街,１９９巷,２０弄
65000070,樹林區,三俊街,２２９巷,
65000070,樹林區,三俊街,２２９巷,３８弄
65000070,樹林區,三俊街,２３９巷,
65000070,樹林區,三俊街,２５２巷,
65000070,樹林區,三俊街,２５２巷,１１弄
65000070,樹林區,三俊街,２５２巷,２弄
65000070,樹林區,三俊街,２５５巷,
65000070,樹林區,三俊街,２５５巷,２弄
65000070,樹林區,三俊街,２９２巷,
65000070,樹林區,三俊街,４８巷,
65000070,樹林區,三俊街,４８巷,９弄
65000070,樹林區,三俊街,６５巷,
65000070,樹林區,三俊街,６５巷,１１弄
65000070,樹林區,三俊街,６５巷,１８弄
65000070,樹林區,三俊街,６５巷,４弄
65000070,樹林區,三俊街,６５巷,４０弄
65000070,樹林區,三俊街,７３巷,
65000070,樹林區,三俊街,７４巷,
65000070,樹林區,三俊街,７４巷,２７弄
65000070,樹林區,三俊街,８１巷,
65000070,樹林區,三俊街,８５巷,
65000070,樹林區,三俊街,９０巷,
65000070,樹林區,三俊街,９０巷,５６弄
65000070,樹林區,三多路,,
65000070,樹林區,三寶街,,
65000070,樹林區,三德街,,
65000070,樹林區,三德街,１０巷,
65000070,樹林區,三德街,１７巷,
65000070,樹林區,三德街,２６巷,
65000070,樹林區,三德街,３０巷,
65000070,樹林區,三德街,３０巷,１６弄
65000070,樹林區,三德街,３０巷,１９弄
65000070,樹林區,三德街,３０巷,２６弄
65000070,樹林區,三德街,３０巷,２９弄
65000070,樹林區,三德街,３０巷,３６弄
65000070,樹林區,三德街,３０巷,９弄
65000070,樹林區,三德街,３６巷,
65000070,樹林區,三福街,,
65000070,樹林區,三福街,１２１巷,
65000070,樹林區,三福街,１２３巷,
65000070,樹林區,三福街,１２５巷,
65000070,樹林區,三福街,１２７巷,
65000070,樹林區,三福街,１６巷,
65000070,樹林區,三福街,２６巷,
65000070,樹林區,三福街,３６巷,
65000070,樹林區,三福街,４２巷,
65000070,樹林區,三福街,４７巷,
65000070,樹林區,三福街,４７巷,８弄
65000070,樹林區,三福街,４８巷,
65000070,樹林區,三福街,５６巷,
