areacode,行政區,路名,巷,弄
65000160,泰山區,,,
65000160,泰山區,,２４巷,
65000160,泰山區,,４６巷,
65000160,泰山區,,４６巷,２弄
65000160,泰山區,中央路,,
65000160,泰山區,中央路,１巷,
65000160,泰山區,中央路,１１巷,
65000160,泰山區,中央路,１４巷,
65000160,泰山區,中央路,３巷,
65000160,泰山區,中央路,３６巷,
65000160,泰山區,中央路,５巷,
65000160,泰山區,中央路,５巷,１７弄
65000160,泰山區,中央路,７巷,
65000160,泰山區,中央路,９巷,
65000160,泰山區,中港南路,,
65000160,泰山區,中港西路,,
65000160,泰山區,中港西路,１２０巷,
65000160,泰山區,中港西路,１３６巷,
65000160,泰山區,中港西路,４９８巷,
65000160,泰山區,中華街,,
65000160,泰山區,中華街,１巷,
65000160,泰山區,中華街,１０巷,
65000160,泰山區,中華街,１２巷,
65000160,泰山區,中華街,１４巷,
65000160,泰山區,中華街,１６巷,
65000160,泰山區,中華街,１８巷,
65000160,泰山區,中華街,２０巷,
65000160,泰山區,仁德路,,
65000160,泰山區,仁德路,９７巷,
65000160,泰山區,仁愛路,,
65000160,泰山區,仁愛路,１００巷,
65000160,泰山區,仁愛路,３９巷,
65000160,泰山區,仁愛路,６巷,
65000160,泰山區,仁愛路,６巷,４弄
65000160,泰山區,仁愛路,６巷,５弄
65000160,泰山區,仁愛路,６巷,７弄
65000160,泰山區,仁武街,,
65000160,泰山區,仁武街,１３９巷,
65000160,泰山區,仁義路,,
65000160,泰山區,仁義路,１１巷,
65000160,泰山區,仁義路,２２０巷,
65000160,泰山區,信義街,,
65000160,泰山區,信義街,１巷,
65000160,泰山區,信華一街,,
65000160,泰山區,信華三街,,
65000160,泰山區,信華二街,,
65000160,泰山區,信華五街,,
65000160,泰山區,信華八街,,
65000160,泰山區,信華六街,,
65000160,泰山區,全興路,,
65000160,泰山區,全興路,全福巷,
65000160,泰山區,全興路,１７巷,
65000160,泰山區,全興路,１８巷,
65000160,泰山區,全興路,２５巷,
65000160,泰山區,全興路,４７巷,
65000160,泰山區,全興路,７巷,
65000160,泰山區,公園路,,
65000160,泰山區,公園路,２２巷,
65000160,泰山區,公園路,２７巷,
65000160,泰山區,公園路,３１巷,
65000160,泰山區,公園路,３８巷,
65000160,泰山區,南林路,,
65000160,泰山區,南泰路,,
65000160,泰山區,南泰路,４巷,２弄
65000160,泰山區,南泰路,６巷,１弄
65000160,泰山區,南泰路,８巷,
65000160,泰山區,台麗街,,
65000160,泰山區,台麗街,１１巷,
65000160,泰山區,台麗街,１３巷,
65000160,泰山區,台麗街,１６巷,
65000160,泰山區,台麗街,６巷,
65000160,泰山區,同義街,,
65000160,泰山區,同義街,１３巷,
65000160,泰山區,同義街,２巷,
65000160,泰山區,同義街,３０巷,
65000160,泰山區,同義街,３０巷,１弄
65000160,泰山區,同義街,４７巷,
65000160,泰山區,同義街,４７巷,５弄
65000160,泰山區,同義街,４７巷,７弄
65000160,泰山區,和平街,,
65000160,泰山區,和平街,１３巷,
65000160,泰山區,和平街,２１巷,
65000160,泰山區,和平街,２７巷,
65000160,泰山區,和平街,５巷,
65000160,泰山區,坡雅路,,
65000160,泰山區,壽山路,,
65000160,泰山區,壽山路,１３４巷,
65000160,泰山區,壽山路,１３４巷,２０弄
65000160,泰山區,壽山路,１６０巷,
65000160,泰山區,壽山路,１６０巷,２弄
65000160,泰山區,大科一路,,
65000160,泰山區,大科一路,３０１巷,
65000160,泰山區,大科一路,３０１巷,２弄
65000160,泰山區,大科路,,
65000160,泰山區,工專路,,
65000160,泰山區,工專路,１２巷,
65000160,泰山區,工專路,４０巷,
65000160,泰山區,工專路,４９巷,
65000160,泰山區,工專路,５９巷,
65000160,泰山區,工專路,６２巷,
65000160,泰山區,工專路,６２巷,１弄
65000160,泰山區,工專路,６２巷,２弄
65000160,泰山區,工專路,８２巷,
65000160,泰山區,工專路,８２巷,２弄
65000160,泰山區,幸福路,,
65000160,泰山區,德安街,,
65000160,泰山區,德安街,２０巷,
65000160,泰山區,忠孝街,,
65000160,泰山區,忠孝街,１６巷,
65000160,泰山區,忠孝街,１７巷,
65000160,泰山區,忠孝街,１９巷,
65000160,泰山區,忠孝街,１９巷,１弄
65000160,泰山區,忠孝街,１９巷,２弄
65000160,泰山區,忠孝街,１９巷,３弄
65000160,泰山區,忠孝街,４巷,
65000160,泰山區,忠孝街,４０巷,
65000160,泰山區,忠孝街,４０巷,２弄
65000160,泰山區,忠孝街,４１巷,
65000160,泰山區,忠孝街,４２巷,
65000160,泰山區,忠孝街,８巷,
65000160,泰山區,憲訓路,,
65000160,泰山區,應化街,,
65000160,泰山區,應化街,２０巷,
65000160,泰山區,應化街,６巷,
65000160,泰山區,應化街,６巷,７弄
65000160,泰山區,應化街登山道,,
65000160,泰山區,文化街,,
65000160,泰山區,文化街,１巷,
65000160,泰山區,文程路,,
65000160,泰山區,文程路,１１９巷,
65000160,泰山區,文程路,１８巷,
65000160,泰山區,文程路,１８巷,１６弄
65000160,泰山區,文程路,１８巷,３６弄
65000160,泰山區,文程路,８巷,
65000160,泰山區,新五路一段,,
65000160,泰山區,新北大道七段,,
65000160,泰山區,新北大道七段,１０５巷,
65000160,泰山區,新北大道七段,１５巷,
65000160,泰山區,新北大道七段,２７巷,
65000160,泰山區,新北大道七段,３２巷,
65000160,泰山區,新北大道七段,４２巷,
65000160,泰山區,新北大道七段,９５巷,
65000160,泰山區,新北大道五段,,
65000160,泰山區,新北大道五段,２８７巷,
65000160,泰山區,新北大道五段,３９８巷,２３弄
65000160,泰山區,新北大道六段,,
65000160,泰山區,新北大道六段,２９１巷,
65000160,泰山區,新北大道六段,３１３巷,
65000160,泰山區,新北大道六段,３１３巷,１３弄
65000160,泰山區,新北大道六段,７９巷,
65000160,泰山區,新北大道六段,７９巷,４７弄
65000160,泰山區,新北大道四段,,
65000160,泰山區,新民路,,
65000160,泰山區,新民路,１４巷,
65000160,泰山區,新民路,１４巷,１１弄
65000160,泰山區,新民路,１４巷,２弄
65000160,泰山區,新民路,２２巷,
65000160,泰山區,新生路,,
65000160,泰山區,新生路,１５巷,
65000160,泰山區,新生路,２２巷,
65000160,泰山區,新生路,２５巷,
65000160,泰山區,新生路,３１巷,
65000160,泰山區,新生路,５巷,
65000160,泰山區,明志路一段,,
65000160,泰山區,明志路一段,１１７巷,
65000160,泰山區,明志路一段,１１７巷,４弄
65000160,泰山區,明志路一段,１２２巷,
65000160,泰山區,明志路一段,１２２巷,１弄
65000160,泰山區,明志路一段,１４５巷,
65000160,泰山區,明志路一段,１５８巷,
65000160,泰山區,明志路一段,１７５巷,
65000160,泰山區,明志路一段,１７８巷,
65000160,泰山區,明志路一段,１８巷,２弄
65000160,泰山區,明志路一段,１９巷,
65000160,泰山區,明志路一段,１９巷,１弄
65000160,泰山區,明志路一段,１９巷,５弄
65000160,泰山區,明志路一段,１９巷,６弄
65000160,泰山區,明志路一段,２１１巷,
65000160,泰山區,明志路一段,２５６巷,
65000160,泰山區,明志路一段,２５６巷,３０弄
65000160,泰山區,明志路一段,２５６巷,４弄
65000160,泰山區,明志路一段,２６３巷,
65000160,泰山區,明志路一段,３０７巷,
65000160,泰山區,明志路一段,３３０巷,
65000160,泰山區,明志路一段,３３１巷,
65000160,泰山區,明志路一段,３３８巷,
65000160,泰山區,明志路一段,３５２巷,
65000160,泰山區,明志路一段,３５２巷,１１弄
65000160,泰山區,明志路一段,３５２巷,１３弄
65000160,泰山區,明志路一段,３５２巷,１５弄
65000160,泰山區,明志路一段,３５２巷,２０弄
65000160,泰山區,明志路一段,３５２巷,２６弄
65000160,泰山區,明志路一段,３５２巷,３２弄
65000160,泰山區,明志路一段,３６２巷,
65000160,泰山區,明志路一段,３６５巷,
65000160,泰山區,明志路一段,３７３巷,
65000160,泰山區,明志路一段,３８２巷,
65000160,泰山區,明志路一段,４０７巷,
65000160,泰山區,明志路一段,４２０巷,
65000160,泰山區,明志路一段,４５１巷,
65000160,泰山區,明志路一段,４５８巷,
65000160,泰山區,明志路一段,４５８巷,２弄
65000160,泰山區,明志路一段,４６６巷,
65000160,泰山區,明志路一段,４６７巷,
65000160,泰山區,明志路一段,４７０巷,
65000160,泰山區,明志路一段,４８３巷,１弄
65000160,泰山區,明志路一段,４８３巷,３弄
65000160,泰山區,明志路一段,４９２巷,
65000160,泰山區,明志路一段,４９２巷,３弄
65000160,泰山區,明志路一段,４９２巷,４弄
65000160,泰山區,明志路一段,４９２巷,６弄
65000160,泰山區,明志路一段,５０１巷,
65000160,泰山區,明志路一段,５１６巷,
65000160,泰山區,明志路一段,７４巷,
65000160,泰山區,明志路一段,９６巷,
65000160,泰山區,明志路三段,,
65000160,泰山區,明志路三段,１１６巷,
65000160,泰山區,明志路三段,１２３巷,
65000160,泰山區,明志路三段,１２３巷,１弄
65000160,泰山區,明志路三段,１４２巷,
65000160,泰山區,明志路三段,１４５巷,
65000160,泰山區,明志路三段,１４５巷,１１弄
65000160,泰山區,明志路三段,１４５巷,２弄
65000160,泰山區,明志路三段,１４５巷,３４弄
65000160,泰山區,明志路三段,１４５巷,３６弄
65000160,泰山區,明志路三段,１４５巷,５弄
65000160,泰山區,明志路三段,１４５巷,５３弄
65000160,泰山區,明志路三段,１４５巷,６弄
65000160,泰山區,明志路三段,１４５巷,８弄
65000160,泰山區,明志路三段,１６３巷,
65000160,泰山區,明志路三段,１６３巷,６弄
65000160,泰山區,明志路三段,１６３巷,８弄
65000160,泰山區,明志路三段,１８巷,
65000160,泰山區,明志路三段,１８２巷,
65000160,泰山區,明志路三段,１９６巷,
65000160,泰山區,明志路三段,１９６巷,２１弄
65000160,泰山區,明志路三段,１９６巷,２３弄
65000160,泰山區,明志路三段,１９６巷,３１弄
65000160,泰山區,明志路三段,１９６巷,４２弄
65000160,泰山區,明志路三段,１９６巷,５０弄
65000160,泰山區,明志路三段,１９６巷,７弄
65000160,泰山區,明志路三段,２０４巷,
65000160,泰山區,明志路三段,２０４巷,１０弄
65000160,泰山區,明志路三段,２０４巷,８弄
65000160,泰山區,明志路三段,２０６巷,
65000160,泰山區,明志路三段,２３１巷,２弄
65000160,泰山區,明志路三段,２３１巷,４弄
65000160,泰山區,明志路三段,３２４巷,
65000160,泰山區,明志路三段,３４１巷,１弄
65000160,泰山區,明志路三段,３４１巷,３弄
65000160,泰山區,明志路三段,３４１巷,５弄
65000160,泰山區,明志路三段,３５１巷,
65000160,泰山區,明志路三段,３５１巷,２弄
65000160,泰山區,明志路三段,３５２巷,
65000160,泰山區,明志路三段,４０７巷,
65000160,泰山區,明志路三段,４２巷,
65000160,泰山區,明志路三段,４２巷,１１弄
65000160,泰山區,明志路三段,４３巷,
65000160,泰山區,明志路三段,４３２巷,
65000160,泰山區,明志路三段,４５４巷,
65000160,泰山區,明志路三段,５３１巷,
65000160,泰山區,明志路三段,５６０巷,
65000160,泰山區,明志路三段,６巷,
65000160,泰山區,明志路三段,７４巷,
65000160,泰山區,明志路三段,７４巷,１２弄
65000160,泰山區,明志路三段,７４巷,２５弄
65000160,泰山區,明志路三段,７４巷,２８弄
65000160,泰山區,明志路三段,９６巷,
65000160,泰山區,明志路二段,,
65000160,泰山區,明志路二段,１０５巷,
65000160,泰山區,明志路二段,１３６巷,
65000160,泰山區,明志路二段,１３６巷,１８弄
65000160,泰山區,明志路二段,１３６巷,２弄
65000160,泰山區,明志路二段,１３６巷,２０弄
65000160,泰山區,明志路二段,１３６巷,２１弄
65000160,泰山區,明志路二段,１５巷,
65000160,泰山區,明志路二段,１５巷,２弄
65000160,泰山區,明志路二段,１９２巷,
65000160,泰山區,明志路二段,１９２巷,１弄
65000160,泰山區,明志路二段,２０７巷,
65000160,泰山區,明志路二段,２０８巷,
65000160,泰山區,明志路二段,２１４巷,
65000160,泰山區,明志路二段,２１４巷,１６弄
65000160,泰山區,明志路二段,２１４巷,１８弄
65000160,泰山區,明志路二段,２３２巷,
65000160,泰山區,明志路二段,２３７巷,
65000160,泰山區,明志路二段,２３７巷,４弄
65000160,泰山區,明志路二段,２４６巷,
65000160,泰山區,明志路二段,２５４巷,
65000160,泰山區,明志路二段,２５４巷,１６弄
65000160,泰山區,明志路二段,２５５巷,
65000160,泰山區,明志路二段,２５５巷,１弄
65000160,泰山區,明志路二段,２５５巷,２弄
65000160,泰山區,明志路二段,２５５巷,３弄
65000160,泰山區,明志路二段,２７３巷,
65000160,泰山區,明志路二段,２７３巷,１４弄
65000160,泰山區,明志路二段,２７３巷,１６弄
65000160,泰山區,明志路二段,２７３巷,３弄
65000160,泰山區,明志路二段,２７３巷,５弄
65000160,泰山區,明志路二段,２９８巷,
65000160,泰山區,明志路二段,２９８巷,１７弄
65000160,泰山區,明志路二段,２９８巷,８弄
65000160,泰山區,明志路二段,３０５巷,
65000160,泰山區,明志路二段,３２巷,
65000160,泰山區,明志路二段,３２巷,２弄
