areacode,行政區,路名,巷,弄
65000100,淡水區,,,
65000100,淡水區,,１００巷,
65000100,淡水區,,１１３巷,
65000100,淡水區,,１２９巷,
65000100,淡水區,,１３１巷,
65000100,淡水區,,１３３巷,
65000100,淡水區,,１３５巷,
65000100,淡水區,,１６巷,
65000100,淡水區,,２５巷,
65000100,淡水區,,２７巷,
65000100,淡水區,,２８巷,
65000100,淡水區,,２８巷,７弄
65000100,淡水區,,２９巷,
65000100,淡水區,,３２巷,
65000100,淡水區,,４７巷,
65000100,淡水區,,５６巷,
65000100,淡水區,,６巷,
65000100,淡水區,,６６巷,
65000100,淡水區,,７０巷,
65000100,淡水區,,７７巷,
65000100,淡水區,,８８巷,
65000100,淡水區,,９１巷,
65000100,淡水區,三民街,,
65000100,淡水區,三民街,２巷,
65000100,淡水區,三民街,４巷,
65000100,淡水區,三民街,６巷,
65000100,淡水區,三民街,８巷,
65000100,淡水區,中山北路一段,,
65000100,淡水區,中山北路一段,１１９巷,
65000100,淡水區,中山北路一段,１１９巷,２弄
65000100,淡水區,中山北路一段,１４９巷,
65000100,淡水區,中山北路一段,１８０巷,
65000100,淡水區,中山北路一段,１８２巷,
65000100,淡水區,中山北路一段,１８４巷,
65000100,淡水區,中山北路一段,１８６巷,
65000100,淡水區,中山北路一段,１８６巷,１３弄
65000100,淡水區,中山北路一段,１８６巷,２７弄
65000100,淡水區,中山北路一段,１９１巷,
65000100,淡水區,中山北路一段,１９８巷,
65000100,淡水區,中山北路一段,２０７巷,
65000100,淡水區,中山北路一段,２０７巷,３７弄
65000100,淡水區,中山北路一段,２１２巷,
65000100,淡水區,中山北路一段,２４７巷,
65000100,淡水區,中山北路一段,２７５巷,
65000100,淡水區,中山北路一段,２８５巷,
65000100,淡水區,中山北路一段,４５巷,
65000100,淡水區,中山北路三段,,
65000100,淡水區,中山北路三段,１６巷,
65000100,淡水區,中山北路三段,３１巷,
65000100,淡水區,中山北路二段,,
65000100,淡水區,中山北路二段,１８８巷,
65000100,淡水區,中山北路二段,１８９巷,
65000100,淡水區,中山北路二段,１８９巷,１５弄
65000100,淡水區,中山北路二段,３８１巷,
65000100,淡水區,中山路,,
65000100,淡水區,中山路,１０８巷,
65000100,淡水區,中山路,１２９巷,
65000100,淡水區,中山路,２５巷,
65000100,淡水區,中山路,７２巷,１弄
65000100,淡水區,中山路,７２巷,２弄
65000100,淡水區,中山路,７２巷,４弄
65000100,淡水區,中山路,７２巷,６弄
65000100,淡水區,中山路,８７巷,
65000100,淡水區,中山路,９０巷,
65000100,淡水區,中山路,９５巷,
65000100,淡水區,中山路,９６巷,
65000100,淡水區,中山路８之１號（地下道,,
65000100,淡水區,中正東路,,
65000100,淡水區,中正東路,３５巷,
65000100,淡水區,中正東路,４２巷,
65000100,淡水區,中正東路,５１巷,
65000100,淡水區,中正東路,６巷,
