areacode,行政區,路名,巷,弄
65000290,烏來區,,,
65000290,烏來區,,,
65000290,烏來區,信福路,,
65000290,烏來區,信福路,１２０巷,
65000290,烏來區,信福路,１５９巷,
65000290,烏來區,信福路,１６巷,
65000290,烏來區,信福路,２巷,
65000290,烏來區,信福路,６巷,
65000290,烏來區,卡拉模基,,
65000290,烏來區,啦卡路,,
65000290,烏來區,啦卡路,１５巷,
65000290,烏來區,啦卡路,９巷,
65000290,烏來區,大羅蘭,,
65000290,烏來區,天仁,,
65000290,烏來區,娃娃谷,,
65000290,烏來區,屯鹿,,
65000290,烏來區,忠治,,
65000290,烏來區,新烏路五段,,
65000290,烏來區,新烏路五段,１６３巷,
65000290,烏來區,新烏路五段,８０巷,
65000290,烏來區,新烏路四段,,
65000290,烏來區,李茂岸,,
65000290,烏來區,桶後,,
65000290,烏來區,溫泉街,,
65000290,烏來區,溫泉街,１１８巷,
65000290,烏來區,溫泉街,８６巷,
65000290,烏來區,瀑布,,
65000290,烏來區,烏來街,,
65000290,烏來區,烏來街,８５巷,
65000290,烏來區,環山路,,
65000290,烏來區,環山路,１０８巷,
65000290,烏來區,環山路,１５９巷,
65000290,烏來區,環山路,５２巷,
65000290,烏來區,環山路,８２巷,
65000290,烏來區,紅河,,
65000290,烏來區,西羅岸路,,
65000290,烏來區,野要街,,
65000290,烏來區,金堰,,
65000290,烏來區,金堰,１１５巷,
65000290,烏來區,阿玉路,,
65000290,烏來區,阿玉路,２８巷,
65000290,烏來區,馬岸,,
