行政區,路名,巷,弄
瑞芳區,?崎路,,
瑞芳區,𫙮魚坑路,,
瑞芳區,𫙮魚坑路,過港巷,
瑞芳區,𫙮魚坑路,１４５巷,
瑞芳區,𫙮魚坑路,１７１巷,
瑞芳區,𫙮魚坑路,２４５巷,
瑞芳區,𫙮魚坑路,８４巷,
瑞芳區,𫙮魚坑路,瑞興新邨１２巷,
瑞芳區,𫙮魚坑路,瑞興新邨２巷,
瑞芳區,𫙮魚坑路,瑞興新邨２２巷,
瑞芳區,一坑路,,
瑞芳區,三爪子坑路,,
瑞芳區,三爪子坑路,１０６巷,
瑞芳區,三爪子坑路,１１１巷,
瑞芳區,三爪子坑路,１３巷,
瑞芳區,三爪子坑路,１３巷,２弄
瑞芳區,三爪子坑路,１４２巷,
瑞芳區,三爪子坑路,１４９巷,
瑞芳區,三爪子坑路,２２２巷,１弄
瑞芳區,三爪子坑路,２２２巷,２弄
瑞芳區,三爪子坑路,２９巷,
瑞芳區,三爪子坑路,３２巷,
瑞芳區,三爪子坑路,４７巷,
瑞芳區,三爪子坑路,４７巷,２弄
瑞芳區,三爪子坑路,４７巷,４弄
瑞芳區,三爪子坑路,６９巷,
瑞芳區,三爪子坑路,９１巷,
瑞芳區,中坑路,,
瑞芳區,中央路,,
瑞芳區,中央路,４８巷,
瑞芳區,中央路,４９巷,
瑞芳區,中山路,,
瑞芳區,中山路,１５８巷,
瑞芳區,中山路,１８０巷,
瑞芳區,中山路,１８０巷,５弄
瑞芳區,中山路,２１０巷,
瑞芳區,中山路,２２２巷,
瑞芳區,中山路,２４６巷,
瑞芳區,中山路,２７巷,
瑞芳區,中山路,３２２巷,
瑞芳區,中正路,,
瑞芳區,九芎橋路,,
瑞芳區,五號路,,
瑞芳區,佛堂巷,,
瑞芳區,侯硐路,,
瑞芳區,八號巷,,
瑞芳區,半嶺路,,
瑞芳區,南雅路,,
瑞芳區,員山子路,,
瑞芳區,員山子路,員山巷,
瑞芳區,哩咾路,,
瑞芳區,四脚亭坑路,,
瑞芳區,四脚亭埔路,,
瑞芳區,坑子內路,,
瑞芳區,基山街,,
瑞芳區,基山街,３１巷,
瑞芳區,大埔路,,
瑞芳區,大埔路,頂埔巷,
瑞芳區,大埔路,頂埔巷,１弄
瑞芳區,大埔路,頂埔巷,２弄
瑞芳區,大埔路,１０３巷,
瑞芳區,大埔路,１１５巷,
瑞芳區,大埔路,２０巷,
瑞芳區,大埔路,２３巷,
瑞芳區,大埔路,４巷,
瑞芳區,大埔路,６７巷,
瑞芳區,大寮路,,
瑞芳區,大寮路,４９巷,
瑞芳區,大寮路,６３巷,
瑞芳區,小粗坑路,,
瑞芳區,尫子上天路,,
瑞芳區,山尖路,,
瑞芳區,岳王路,,
瑞芳區,岳王路,１巷,
瑞芳區,岳王路,１２巷,
瑞芳區,崙頂路,,
瑞芳區,平林路,,
瑞芳區,建基路一段,,
瑞芳區,建基路一段,５０巷,
瑞芳區,建基路一段,６２巷,
瑞芳區,建基路二段,,
瑞芳區,新山路,,
瑞芳區,新路尾路,,
瑞芳區,明燈路一段,,
瑞芳區,明燈路一段,１１巷,
瑞芳區,明燈路一段,１８巷,
瑞芳區,明燈路一段,２０１巷,
瑞芳區,明燈路一段,４５巷,
瑞芳區,明燈路三段,,
瑞芳區,明燈路三段,１２２巷,
瑞芳區,明燈路三段,１３６巷,
瑞芳區,明燈路三段,３００巷,
瑞芳區,明燈路三段,５０巷,
瑞芳區,明燈路二段,,
瑞芳區,明燈路二段,２巷,
瑞芳區,明燈路二段,８５巷,
瑞芳區,明里路,,
瑞芳區,月眉路,,
瑞芳區,東和路,,
瑞芳區,東和路,１６巷,
瑞芳區,柴寮路,,
瑞芳區,楓子瀨路,,
瑞芳區,楓子瀨路,１巷,
瑞芳區,楓子瀨路,５巷,
瑞芳區,民族街,,
瑞芳區,民權街,,
瑞芳區,民權街,１２巷,
瑞芳區,民權街,２３巷,
瑞芳區,民權街,２５巷,
瑞芳區,民權街,４巷,
瑞芳區,民權街,６巷,
瑞芳區,民權街鐵路,巷,
瑞芳區,民生街,,
瑞芳區,民生街,３０巷,
瑞芳區,民生街,３５巷,
瑞芳區,汽車路,,
瑞芳區,洞頂路,,
瑞芳區,洞頂路,１０１巷,
瑞芳區,海濱路,,
瑞芳區,海濱路,２巷,
瑞芳區,海濱路,３巷,
瑞芳區,深澳路,,
瑞芳區,滴水子路,,
瑞芳區,濱二路,,
瑞芳區,烏勢巷,,
瑞芳區,瑞濱路,,
瑞芳區,瑞竹路,,
瑞芳區,瑞竹路,１１１巷,
瑞芳區,瑞竹路,３６巷,
瑞芳區,瑞竹路,７８巷,
瑞芳區,瑞竹路,９４巷,
瑞芳區,瑞芳街,,
瑞芳區,瑞芳街,１１２巷,
瑞芳區,石埤巷,,
瑞芳區,石尾路,,
瑞芳區,祈堂路,,
瑞芳區,竪崎路,,
瑞芳區,籠山路,,
瑞芳區,粗坑口路,,
