areacode,行政區,路名,巷,弄
65000190,石碇區,,,
65000190,石碇區,二格路,,
65000190,石碇區,光明路,,
65000190,石碇區,光明路,九■坪巷,
65000190,石碇區,光明路,耳空龜巷,
65000190,石碇區,光明路,頂紙寮坑巷,
65000190,石碇區,北宜路五段,,
65000190,石碇區,北宜路五段,五郎寮巷,
65000190,石碇區,北宜路五段,十股寮巷,
65000190,石碇區,北宜路五段,土巷,
65000190,石碇區,北宜路五段,坑內巷,
65000190,石碇區,北宜路五段,大湖巷,
65000190,石碇區,北宜路五段,崙尾寮巷,
65000190,石碇區,北宜路五段,潭腰巷,
65000190,石碇區,北宜路五段,濕水子巷,
65000190,石碇區,北宜路五段,火燒樟巷,
65000190,石碇區,北宜路五段,竹坑巷,
65000190,石碇區,北宜路五段,雷公坡巷,
65000190,石碇區,北宜路六段,十三股巷,
65000190,石碇區,北宜路六段,塗潭巷,
65000190,石碇區,北宜路六段,小金瓜寮巷,
65000190,石碇區,北宜路六段,柑腳巷,
65000190,石碇區,北宜路六段,水底寮巷,
65000190,石碇區,北宜路六段,獅仔頭坑巷,
65000190,石碇區,北宜路六段,直潭巷,
65000190,石碇區,北宜路四段,,
65000190,石碇區,北宜路四段,栳寮巷,
65000190,石碇區,半路,,
65000190,石碇區,四分子路,,
65000190,石碇區,四分子路,小粗坑巷,
65000190,石碇區,文山路一段,,
65000190,石碇區,石汐路,,
65000190,石碇區,石碇東街,,
65000190,石碇區,石碇西街,,
65000190,石碇區,碇南路二段,,
65000190,石碇區,碇南路二段,松柏崎巷,
65000190,石碇區,碇南路二段,鹿窟巷,
65000190,石碇區,碇坪路一段,,
65000190,石碇區,碇坪路二段,,
65000190,石碇區,碇格路二段,,
65000190,石碇區,華梵路,,
65000190,石碇區,靜安路一段,,
65000190,石碇區,靜安路一段,２９２巷,
