areacode,行政區,路名,巷,弄,號
,萬華區,三水街,,,101之2號
,萬華區,三水街,,,101之4號
,萬華區,三水街,,,101之5號
,萬華區,三水街,,,101號
,萬華區,三水街,,,103號
,萬華區,三水街,,,105號
,萬華區,三水街,,,107之1號
,萬華區,三水街,,,107號
,萬華區,三水街,,,108號
,萬華區,三水街,,,109號
,萬華區,三水街,,,10之1號
,萬華區,三水街,,,10之1號三樓
,萬華區,三水街,,,10之1號二樓
,萬華區,三水街,,,10之1號四樓
,萬華區,三水街,,,10號
,萬華區,三水街,,,10號三樓
,萬華區,三水街,,,10號二樓
,萬華區,三水街,,,10號四樓
,萬華區,三水街,,,110號
,萬華區,三水街,,,110號二樓
,萬華區,三水街,,,111之1號
,萬華區,三水街,,,111號
,萬華區,三水街,,,112號
,萬華區,三水街,,,112號三樓
,萬華區,三水街,,,112號二樓
,萬華區,三水街,,,112號五樓
,萬華區,三水街,,,112號四樓
,萬華區,三水街,,,113號
,萬華區,三水街,,,114號
,萬華區,三水街,,,114號三樓
,萬華區,三水街,,,114號二樓
,萬華區,三水街,,,114號五樓
,萬華區,三水街,,,114號四樓
,萬華區,三水街,,,114號地下
,萬華區,三水街,,,116號
,萬華區,三水街,,,116號三樓
,萬華區,三水街,,,116號二樓
,萬華區,三水街,,,116號五樓
,萬華區,三水街,,,116號四樓
,萬華區,三水街,,,118號
,萬華區,三水街,,,118號三樓
,萬華區,三水街,,,118號二樓
,萬華區,三水街,,,118號五樓
,萬華區,三水街,,,118號四樓
,萬華區,三水街,,,11號
,萬華區,三水街,,,120號
,萬華區,三水街,,,120號三樓
,萬華區,三水街,,,120號二樓
,萬華區,三水街,,,120號五樓
,萬華區,三水街,,,120號四樓
,萬華區,三水街,,,123號
,萬華區,三水街,,,123號二樓
,萬華區,三水街,,,124號
,萬華區,三水街,,,124號七樓
,萬華區,三水街,,,124號三樓
,萬華區,三水街,,,124號二樓
,萬華區,三水街,,,124號五樓
,萬華區,三水街,,,124號八樓
,萬華區,三水街,,,124號六樓
,萬華區,三水街,,,124號四樓
,萬華區,三水街,,,125號
,萬華區,三水街,,,125號三樓
,萬華區,三水街,,,125號二樓
,萬華區,三水街,,,125號五樓
,萬華區,三水街,,,125號四樓
,萬華區,三水街,,,125號地下
,萬華區,三水街,,,126號
,萬華區,三水街,,,126號三樓
,萬華區,三水街,,,126號二樓
,萬華區,三水街,,,127號
,萬華區,三水街,,,127號三樓
,萬華區,三水街,,,127號二樓
,萬華區,三水街,,,127號五樓
,萬華區,三水街,,,127號四樓
,萬華區,三水街,,,127號地下
,萬華區,三水街,,,129號
,萬華區,三水街,,,129號三樓
,萬華區,三水街,,,129號二樓
,萬華區,三水街,,,129號五樓
,萬華區,三水街,,,129號四樓
,萬華區,三水街,,,129號地下
,萬華區,三水街,,,12之1號
,萬華區,三水街,,,12號
,萬華區,三水街,,,12號三樓
,萬華區,三水街,,,12號二樓
,萬華區,三水街,,,12號五樓
,萬華區,三水街,,,12號四樓
,萬華區,三水街,,,131號
,萬華區,三水街,,,131號三樓
,萬華區,三水街,,,131號二樓
,萬華區,三水街,,,131號五樓
,萬華區,三水街,,,131號四樓
,萬華區,三水街,,,131號地下
,萬華區,三水街,,,133號
,萬華區,三水街,,,135號
,萬華區,三水街,,,137號
,萬華區,三水街,,,139號
,萬華區,三水街,,,139號二樓
,萬華區,三水街,,,13號
,萬華區,三水街,,,141號
,萬華區,三水街,,,141號三樓
,萬華區,三水街,,,141號三樓之1
,萬華區,三水街,,,141號二樓
,萬華區,三水街,,,141號五樓
,萬華區,三水街,,,141號四樓
,萬華區,三水街,,,14號
,萬華區,三水街,,,14號三樓
,萬華區,三水街,,,14號二樓
,萬華區,三水街,,,14號五樓
,萬華區,三水街,,,14號四樓
,萬華區,三水街,,,15號
,萬華區,三水街,,,16號
,萬華區,三水街,,,1號
,萬華區,三水街,,,21號
,萬華區,三水街,,,21號三樓
,萬華區,三水街,,,21號二樓
,萬華區,三水街,,,21號四樓
,萬華區,三水街,,,23號
,萬華區,三水街,,,23號三樓
,萬華區,三水街,,,23號二樓
,萬華區,三水街,,,23號五樓
,萬華區,三水街,,,23號四樓
,萬華區,三水街,,,24號
,萬華區,三水街,,,27號
,萬華區,三水街,,,2號
,萬華區,三水街,,,31號
,萬華區,三水街,,,33號
,萬華區,三水街,,,35號
,萬華區,三水街,,,37之1號
,萬華區,三水街,,,37號
,萬華區,三水街,,,3號
,萬華區,三水街,,,41號
,萬華區,三水街,,,43號
,萬華區,三水街,,,45號
,萬華區,三水街,,,47號
,萬華區,三水街,,,4號
,萬華區,三水街,,,50號
,萬華區,三水街,,,50號三樓
,萬華區,三水街,,,50號二樓
,萬華區,三水街,,,50號五樓
,萬華區,三水街,,,50號四樓
,萬華區,三水街,,,52號
,萬華區,三水街,,,52號三樓
,萬華區,三水街,,,52號二樓
,萬華區,三水街,,,52號五樓
,萬華區,三水街,,,52號四樓
,萬華區,三水街,,,54號
,萬華區,三水街,,,54號三樓
,萬華區,三水街,,,54號二樓
,萬華區,三水街,,,54號五樓
,萬華區,三水街,,,54號四樓
,萬華區,三水街,,,56之1號
,萬華區,三水街,,,56號
,萬華區,三水街,,,58號
,萬華區,三水街,,,5之1號
,萬華區,三水街,,,61號
,萬華區,三水街,,,62號
,萬華區,三水街,,,62號三樓
,萬華區,三水街,,,62號二樓
,萬華區,三水街,,,62號四樓
,萬華區,三水街,,,63號
,萬華區,三水街,,,64號
,萬華區,三水街,,,64號三樓
,萬華區,三水街,,,64號二樓
,萬華區,三水街,,,64號四樓
,萬華區,三水街,,,65之4號
,萬華區,三水街,,,65之4號三樓
,萬華區,三水街,,,65之4號二樓
,萬華區,三水街,,,65之4號四樓
,萬華區,三水街,,,65號
,萬華區,三水街,,,65號三樓
,萬華區,三水街,,,65號二樓
,萬華區,三水街,,,65號四樓
,萬華區,三水街,,,66號
,萬華區,三水街,,,66號三樓
,萬華區,三水街,,,66號二樓
,萬華區,三水街,,,66號四樓
,萬華區,三水街,,,67之1號
,萬華區,三水街,,,67之2號
,萬華區,三水街,,,67之3號
,萬華區,三水街,,,67號
,萬華區,三水街,,,68號
,萬華區,三水街,,,69號
,萬華區,三水街,,,6號
,萬華區,三水街,,,71之1號
,萬華區,三水街,,,71之2號
,萬華區,三水街,,,71之3號
,萬華區,三水街,,,71號
,萬華區,三水街,,,73號
,萬華區,三水街,,,73號三樓
,萬華區,三水街,,,73號二樓
,萬華區,三水街,,,73號四樓
,萬華區,三水街,,,75之1號
,萬華區,三水街,,,75之1號三樓
,萬華區,三水街,,,75之1號二樓
,萬華區,三水街,,,75之1號四樓
,萬華區,三水街,,,75號
,萬華區,三水街,,,75號三樓
,萬華區,三水街,,,75號二樓
,萬華區,三水街,,,75號四樓
,萬華區,三水街,,,77之1號
,萬華區,三水街,,,77之1號三樓
,萬華區,三水街,,,77之1號二樓
,萬華區,三水街,,,77之1號四樓
,萬華區,三水街,,,77號
,萬華區,三水街,,,77號三樓
,萬華區,三水街,,,77號二樓
,萬華區,三水街,,,77號四樓
,萬華區,三水街,,,78號
,萬華區,三水街,,,78號二樓
,萬華區,三水街,,,79號
,萬華區,三水街,,,7號
,萬華區,三水街,,,80號
,萬華區,三水街,,,80號二樓
,萬華區,三水街,,,81號
,萬華區,三水街,,,82號
,萬華區,三水街,,,84之1號
,萬華區,三水街,,,84之2號
,萬華區,三水街,,,84之3號
,萬華區,三水街,,,84之4號
,萬華區,三水街,,,84之5號
,萬華區,三水街,,,84之6號
,萬華區,三水街,,,84之7號
,萬華區,三水街,,,84號
,萬華區,三水街,,,85之1號
,萬華區,三水街,,,85之1號三樓
,萬華區,三水街,,,85之1號二樓
,萬華區,三水街,,,85之1號四樓
,萬華區,三水街,,,85之2號
,萬華區,三水街,,,85之2號三樓
,萬華區,三水街,,,85之2號二樓
,萬華區,三水街,,,85之2號四樓
,萬華區,三水街,,,85之3號
,萬華區,三水街,,,85之3號三樓
,萬華區,三水街,,,85之3號二樓
,萬華區,三水街,,,85之3號四樓
,萬華區,三水街,,,85之4號
,萬華區,三水街,,,85之4號三樓
,萬華區,三水街,,,85之4號二樓
,萬華區,三水街,,,85之4號四樓
,萬華區,三水街,,,85號
,萬華區,三水街,,,86號
,萬華區,三水街,,,87號
,萬華區,三水街,,,88號
,萬華區,三水街,,,89號
,萬華區,三水街,,,8號
,萬華區,三水街,,,90號
,萬華區,三水街,,,91號
,萬華區,三水街,,,92號
,萬華區,三水街,,,93之1號
,萬華區,三水街,,,93號
,萬華區,三水街,,,95號
,萬華區,三水街,,,臨37之2號
,萬華區,三水街,104巷,,1號
,萬華區,三水街,104巷,,2號
,萬華區,三水街,104巷,,2號二樓
,萬華區,三水街,104巷,,3號
,萬華區,三水街,104巷,,4號
,萬華區,三水街,104巷,,6號
,萬華區,三水街,104巷,,8號
,萬華區,三水街,104巷,,8號三樓
,萬華區,三水街,104巷,,8號二樓
,萬華區,三水街,104巷,,8號四樓
,萬華區,三水街,106巷,,2號
,萬華區,三水街,106巷,,2號二樓
,萬華區,三水街,106巷,,4號
,萬華區,三水街,106巷,,5號
,萬華區,三水街,106巷,,6號
,萬華區,三水街,106巷,,7號
,萬華區,三水街,106巷,,8號
,萬華區,三水街,115巷,,10號
,萬華區,三水街,115巷,,1號
,萬華區,三水街,115巷,,1號三樓
,萬華區,三水街,115巷,,1號二樓
,萬華區,三水街,115巷,,1號四樓
,萬華區,三水街,115巷,,2號
,萬華區,三水街,115巷,,2號三樓
,萬華區,三水街,115巷,,2號二樓
,萬華區,三水街,115巷,,2號四樓
,萬華區,三水街,115巷,,3號
,萬華區,三水街,115巷,,3號三樓
,萬華區,三水街,115巷,,3號二樓
,萬華區,三水街,115巷,,3號四樓
,萬華區,三水街,115巷,,4號
,萬華區,三水街,115巷,,4號三樓
,萬華區,三水街,115巷,,4號二樓
,萬華區,三水街,115巷,,4號四樓
,萬華區,三水街,115巷,,5號
,萬華區,三水街,115巷,,5號三樓
,萬華區,三水街,115巷,,5號二樓
,萬華區,三水街,115巷,,5號四樓
,萬華區,三水街,115巷,,6號
,萬華區,三水街,115巷,,6號三樓
,萬華區,三水街,115巷,,6號二樓
,萬華區,三水街,115巷,,6號四樓
,萬華區,三水街,115巷,,7號
,萬華區,三水街,115巷,,7號三樓
,萬華區,三水街,115巷,,7號二樓
,萬華區,三水街,115巷,,7號四樓
,萬華區,三水街,115巷,,8號
,萬華區,三水街,115巷,,8號三樓
,萬華區,三水街,115巷,,8號二樓
,萬華區,三水街,115巷,,8號四樓
,萬華區,三水街,18巷,,10號
,萬華區,三水街,18巷,,11號
,萬華區,三水街,18巷,,12號
,萬華區,三水街,18巷,,14號
,萬華區,三水街,18巷,,16號
,萬華區,三水街,18巷,,18號
,萬華區,三水街,18巷,,2號
,萬華區,三水街,18巷,,3號
,萬華區,三水街,18巷,,4號
,萬華區,三水街,18巷,,5號
,萬華區,三水街,18巷,,6號
,萬華區,三水街,18巷,,7號
,萬華區,三水街,18巷,,8號
,萬華區,三水街,18巷,,9號
,萬華區,三水街,19巷,,2號
,萬華區,三水街,19巷,,2號三樓
,萬華區,三水街,19巷,,2號二樓
,萬華區,三水街,19巷,,2號四樓
,萬華區,三水街,19巷,,4號
,萬華區,三水街,19巷,,4號三樓
,萬華區,三水街,19巷,,4號二樓
,萬華區,三水街,19巷,,4號四樓
,萬華區,三水街,19巷,,6號
,萬華區,三水街,19巷,,6號三樓
,萬華區,三水街,19巷,,6號二樓
,萬華區,三水街,19巷,,6號四樓
,萬華區,三水街,19巷,1弄,2號
,萬華區,三水街,19巷,1弄,4號
,萬華區,三水街,19巷,1弄,6之1號
,萬華區,三水街,19巷,1弄,6號
,萬華區,三水街,19巷,1弄,8號
,萬華區,三水街,22巷,,11號
,萬華區,三水街,22巷,,11號三樓
,萬華區,三水街,22巷,,11號二樓
,萬華區,三水街,22巷,,11號五樓
,萬華區,三水街,22巷,,11號四樓
,萬華區,三水街,22巷,,13號
,萬華區,三水街,22巷,,1號
,萬華區,三水街,22巷,,1號三樓
,萬華區,三水街,22巷,,1號二樓
,萬華區,三水街,22巷,,1號四樓
,萬華區,三水街,22巷,,2號
,萬華區,三水街,22巷,,3號
,萬華區,三水街,22巷,,3號三樓
,萬華區,三水街,22巷,,3號二樓
,萬華區,三水街,22巷,,3號四樓
,萬華區,三水街,22巷,,5號
,萬華區,三水街,22巷,,5號三樓
,萬華區,三水街,22巷,,5號二樓
,萬華區,三水街,22巷,,5號四樓
,萬華區,三水街,22巷,,7之1號
,萬華區,三水街,25巷,,10號
,萬華區,三水街,25巷,,1號
,萬華區,三水街,25巷,,1號三樓
,萬華區,三水街,25巷,,1號二樓
,萬華區,三水街,25巷,,1號五樓
,萬華區,三水街,25巷,,1號四樓
,萬華區,三水街,25巷,,2之1號
,萬華區,三水街,25巷,,2號
,萬華區,三水街,25巷,,3號
,萬華區,三水街,25巷,,3號三樓
,萬華區,三水街,25巷,,3號二樓
,萬華區,三水街,25巷,,3號五樓
,萬華區,三水街,25巷,,3號四樓
,萬華區,三水街,25巷,,4號
,萬華區,三水街,25巷,,5號
,萬華區,三水街,25巷,,6號
,萬華區,三水街,25巷,,7號
,萬華區,三水街,25巷,,8號
,萬華區,三水街,29巷,,1號
,萬華區,三水街,29巷,,2號
,萬華區,三水街,29巷,,3號
,萬華區,三水街,29巷,,4號
,萬華區,三水街,29巷,,5號
,萬華區,三水街,29巷,,6號
,萬華區,三水街,29巷,,7號
,萬華區,三水街,39巷,,11號
,萬華區,三水街,39巷,,13號
,萬華區,三水街,39巷,,15號
,萬華區,三水街,39巷,,2號
,萬華區,三水街,39巷,,2號三樓
,萬華區,三水街,39巷,,2號二樓
,萬華區,三水街,39巷,,2號四樓
,萬華區,三水街,39巷,,3號
,萬華區,三水街,39巷,,5號
,萬華區,三水街,39巷,,7號
,萬華區,三水街,39巷,,7號三樓
,萬華區,三水街,39巷,,7號二樓
,萬華區,三水街,39巷,,7號五樓
,萬華區,三水街,39巷,,7號四樓
,萬華區,三水街,39巷,,9之1號
,萬華區,三水街,39巷,,9號
,萬華區,三水街,97巷,,3號
,萬華區,三水街,9巷,,3號
,萬華區,三水街,9巷,1弄,1號
,萬華區,三水街,9巷,1弄,3號
,萬華區,三水街,9巷,1弄,5號
,萬華區,三水街,9巷,1弄,7號
,萬華區,中華路一段,,,100號
,萬華區,中華路一段,,,104號
,萬華區,中華路一段,,,106號
,萬華區,中華路一段,,,106號七樓
,萬華區,中華路一段,,,106號三樓
,萬華區,中華路一段,,,106號九樓
,萬華區,中華路一段,,,106號二樓
,萬華區,中華路一段,,,106號五樓
,萬華區,中華路一段,,,106號八樓
,萬華區,中華路一段,,,106號六樓
,萬華區,中華路一段,,,106號十樓
,萬華區,中華路一段,,,106號四樓
,萬華區,中華路一段,,,106號地下
,萬華區,中華路一段,,,108號
,萬華區,中華路一段,,,10號
,萬華區,中華路一段,,,110之1號
,萬華區,中華路一段,,,110號
,萬華區,中華路一段,,,110號七樓
,萬華區,中華路一段,,,110號三樓
,萬華區,中華路一段,,,110號二樓
,萬華區,中華路一段,,,110號五樓
,萬華區,中華路一段,,,110號五樓之1
,萬華區,中華路一段,,,110號五樓之3
,萬華區,中華路一段,,,110號五樓之4
,萬華區,中華路一段,,,110號五樓之5
,萬華區,中華路一段,,,110號五樓之6
,萬華區,中華路一段,,,110號八樓
,萬華區,中華路一段,,,110號六樓
,萬華區,中華路一段,,,110號四樓
,萬華區,中華路一段,,,110號四樓之1
,萬華區,中華路一段,,,110號四樓之2
,萬華區,中華路一段,,,110號四樓之3
,萬華區,中華路一段,,,110號四樓之4
,萬華區,中華路一段,,,110號四樓之5
,萬華區,中華路一段,,,110號四樓之6
,萬華區,中華路一段,,,110號地下
,萬華區,中華路一段,,,112之1號
,萬華區,中華路一段,,,112號
,萬華區,中華路一段,,,116號
,萬華區,中華路一段,,,118號
,萬華區,中華路一段,,,120號
,萬華區,中華路一段,,,122號
,萬華區,中華路一段,,,124號
,萬華區,中華路一段,,,126號
,萬華區,中華路一段,,,128號
,萬華區,中華路一段,,,130號
,萬華區,中華路一段,,,132號
,萬華區,中華路一段,,,134號
,萬華區,中華路一段,,,136號
,萬華區,中華路一段,,,138號
,萬華區,中華路一段,,,144之10號
,萬華區,中華路一段,,,144之11號
,萬華區,中華路一段,,,144之12號
,萬華區,中華路一段,,,144之13號
,萬華區,中華路一段,,,144之15號
,萬華區,中華路一段,,,144之16號
,萬華區,中華路一段,,,144之17號
,萬華區,中華路一段,,,144之19號
,萬華區,中華路一段,,,144之1號
,萬華區,中華路一段,,,144之20號
,萬華區,中華路一段,,,144之21號
,萬華區,中華路一段,,,144之22號
,萬華區,中華路一段,,,144之23號
,萬華區,中華路一段,,,144之24號
,萬華區,中華路一段,,,144之25號
,萬華區,中華路一段,,,144之26號
,萬華區,中華路一段,,,144之27號
,萬華區,中華路一段,,,144之28號
,萬華區,中華路一段,,,144之29號
,萬華區,中華路一段,,,144之2號
,萬華區,中華路一段,,,144之30號
,萬華區,中華路一段,,,144之32號
,萬華區,中華路一段,,,144之33號
,萬華區,中華路一段,,,144之35號
,萬華區,中華路一段,,,144之36號
,萬華區,中華路一段,,,144之37號
,萬華區,中華路一段,,,144之38號
,萬華區,中華路一段,,,144之39號
,萬華區,中華路一段,,,144之3號
,萬華區,中華路一段,,,144之40號
,萬華區,中華路一段,,,144之41號
,萬華區,中華路一段,,,144之42號
,萬華區,中華路一段,,,144之43號
,萬華區,中華路一段,,,144之45號
,萬華區,中華路一段,,,144之46號
,萬華區,中華路一段,,,144之47號
,萬華區,中華路一段,,,144之48號
,萬華區,中華路一段,,,144之49號
,萬華區,中華路一段,,,144之50號
,萬華區,中華路一段,,,144之51號
,萬華區,中華路一段,,,144之6號
,萬華區,中華路一段,,,144之7號
,萬華區,中華路一段,,,144之8號
,萬華區,中華路一段,,,144之9號
,萬華區,中華路一段,,,144號
,萬華區,中華路一段,,,144號七樓
,萬華區,中華路一段,,,144號七樓之1
,萬華區,中華路一段,,,144號三樓
,萬華區,中華路一段,,,144號三樓之1
,萬華區,中華路一段,,,144號三樓之10
,萬華區,中華路一段,,,144號三樓之11
,萬華區,中華路一段,,,144號三樓之12
,萬華區,中華路一段,,,144號三樓之13
,萬華區,中華路一段,,,144號三樓之15
,萬華區,中華路一段,,,144號三樓之16
,萬華區,中華路一段,,,144號三樓之17
,萬華區,中華路一段,,,144號三樓之18
,萬華區,中華路一段,,,144號三樓之19
,萬華區,中華路一段,,,144號三樓之2
,萬華區,中華路一段,,,144號三樓之20
,萬華區,中華路一段,,,144號三樓之21
,萬華區,中華路一段,,,144號三樓之22
