areacode,行政區,路名,巷,弄
65000280,萬里區,下社,,
65000280,萬里區,中福,,
65000280,萬里區,二坪,,
65000280,萬里區,仁一街,,
65000280,萬里區,仁七街,,
65000280,萬里區,仁三街,,
65000280,萬里區,仁二街,,
65000280,萬里區,仁五街,,
65000280,萬里區,仁六街,,
65000280,萬里區,仁四街,,
65000280,萬里區,光宇一路,,
65000280,萬里區,光宇三路,,
65000280,萬里區,光宇二路,,
65000280,萬里區,光宇大道,,
65000280,萬里區,內中福,,
65000280,萬里區,內崁,,
65000280,萬里區,八斗,,
65000280,萬里區,公舘崙,,
65000280,萬里區,南夏瑯路,,
65000280,萬里區,南夏瑯路,９巷,１弄
65000280,萬里區,南夏瑯路,９巷,３弄
65000280,萬里區,員潭,,
65000280,萬里區,國聖埔,,
65000280,萬里區,圳頭,,
65000280,萬里區,坑頭,,
65000280,萬里區,坪頂,,
65000280,萬里區,大中山,,
65000280,萬里區,大仁街,,
65000280,萬里區,大勇路,,
65000280,萬里區,大坪,,
65000280,萬里區,大湖,,
65000280,萬里區,大鵬街,,
65000280,萬里區,太和,,
65000280,萬里區,孝一街,,
65000280,萬里區,孝七街,,
65000280,萬里區,孝三街,,
65000280,萬里區,孝二街,,
65000280,萬里區,孝五街,,
65000280,萬里區,孝六街,,
65000280,萬里區,孝四街,,
65000280,萬里區,富士坪,,
65000280,萬里區,崁?,,
65000280,萬里區,崁脚,,
65000280,萬里區,忠一街,,
65000280,萬里區,忠三街,,
65000280,萬里區,忠二街,,
65000280,萬里區,忠五街,,
65000280,萬里區,忠六街,,
65000280,萬里區,忠四街,,
65000280,萬里區,愛一街,,
65000280,萬里區,愛三街,,
65000280,萬里區,愛二街,,
65000280,萬里區,成功新邨,,
65000280,萬里區,挹翠路,,
65000280,萬里區,新墾丁路,,
65000280,萬里區,日光路,,
65000280,萬里區,日光路,３１巷,
65000280,萬里區,日光路,６巷,
65000280,萬里區,日光路,８巷,
65000280,萬里區,景美,,
65000280,萬里區,東澳,,
65000280,萬里區,海景路,,
65000280,萬里區,清水,,
65000280,萬里區,港東,,
65000280,萬里區,港東,３巷,
65000280,萬里區,港東新?,,
65000280,萬里區,港東新邨,,
65000280,萬里區,港西,,
65000280,萬里區,港西港西,,
65000280,萬里區,溪底,,
65000280,萬里區,漁澳,,
65000280,萬里區,烏(塗)炭,,
65000280,萬里區,獅頭,,
65000280,萬里區,玉田,,
65000280,萬里區,瑞泉,,
65000280,萬里區,瑪鋉下街,,
65000280,萬里區,瑪鋉路,,
65000280,萬里區,瑪鋉路,２６巷,
65000280,萬里區,瑪鋉路,３０巷,
65000280,萬里區,瑪鋉路,３０巷,１弄
65000280,萬里區,瑪鋉路,３０巷,２弄
65000280,萬里區,瑪鋉路,３０巷,２８弄
65000280,萬里區,瑪鋉路,５４巷,
65000280,萬里區,瑪鋉頂街,,
65000280,萬里區,皷亭,,
65000280,萬里區,石角,,
65000280,萬里區,磺溪,,
65000280,萬里區,福德坑,,
65000280,萬里區,美崙,,
65000280,萬里區,翡翠路,,
65000280,萬里區,聽濤路,,
65000280,萬里區,萬里加投,,
65000280,萬里區,萬里加投,１３５巷,
65000280,萬里區,豊(廪),,
65000280,萬里區,達天,,
65000280,萬里區,頂社,,
65000280,萬里區,香員林,,
65000280,萬里區,麗水,,
