areacode,行政區,路名,巷,弄
65000260,貢寮區,下双溪街,,
65000260,貢寮區,丹裡街,,
65000260,貢寮區,仁和路,,
65000260,貢寮區,仁和路,１００巷,
65000260,貢寮區,仁和路,１０６巷,
65000260,貢寮區,仁和路,２７０巷,１弄
65000260,貢寮區,仁和路,２７０巷,２弄
65000260,貢寮區,仁和路,２７０巷,３弄
65000260,貢寮區,仁和路,３４巷,
65000260,貢寮區,仁和路,４９巷,
65000260,貢寮區,仁愛路,,
65000260,貢寮區,仁愛路,１０６巷,
65000260,貢寮區,仁愛路,１２４巷,
65000260,貢寮區,仁愛路,１８巷,
65000260,貢寮區,仁愛路,３６巷,
65000260,貢寮區,仁愛路,４１巷,
65000260,貢寮區,仁愛路,４１巷,５弄
65000260,貢寮區,仁愛路,４１巷,７弄
65000260,貢寮區,仁愛路,６２巷,
65000260,貢寮區,仁愛路,６６巷,
65000260,貢寮區,仁愛路,７２巷,
65000260,貢寮區,仁義街,,
65000260,貢寮區,仁義街,４７巷,
65000260,貢寮區,保健街,,
65000260,貢寮區,保健街,３７巷,２弄
65000260,貢寮區,內寮街,,
65000260,貢寮區,內隆林街,,
65000260,貢寮區,北勢坑街,,
65000260,貢寮區,南勢坑街,,
65000260,貢寮區,和美街,,
65000260,貢寮區,土地公嶺街,,
65000260,貢寮區,外隆林街,,
65000260,貢寮區,大澳街,,
65000260,貢寮區,大澳街,１０巷,
65000260,貢寮區,學苑街,,
65000260,貢寮區,尖山脚街,,
65000260,貢寮區,嵩陽街,,
65000260,貢寮區,巫里岸街,,
65000260,貢寮區,延平街,,
65000260,貢寮區,延平街,３８巷,
65000260,貢寮區,延平街,６７巷,
65000260,貢寮區,復興街,,
65000260,貢寮區,德心街,,
65000260,貢寮區,惠隆街,,
65000260,貢寮區,惠隆街,１巷,
65000260,貢寮區,惠隆街,１６巷,
65000260,貢寮區,文秀坑街,,
65000260,貢寮區,新港街,,
65000260,貢寮區,新港街,２６巷,
65000260,貢寮區,新港街,２６巷,５５弄
65000260,貢寮區,新港街,３１巷,
65000260,貢寮區,新港街,９８巷,
65000260,貢寮區,朝陽街,,
65000260,貢寮區,朝陽街,１２０巷,
65000260,貢寮區,朝陽街,１４０巷,
65000260,貢寮區,朝陽街,５０巷,
65000260,貢寮區,朝陽街,７０巷,
65000260,貢寮區,東興街,,
65000260,貢寮區,東興街,１０６巷,２１弄
65000260,貢寮區,東興街,１０６巷,２３弄
65000260,貢寮區,東興街,１０６巷,２５弄
65000260,貢寮區,東興街,３７巷,
65000260,貢寮區,枋?街,,
65000260,貢寮區,枋脚街,,
65000260,貢寮區,桂安街,,
65000260,貢寮區,水返港街,,
65000260,貢寮區,泮宮路,,
65000260,貢寮區,田寮洋街,,
65000260,貢寮區,石壁坑街,,
65000260,貢寮區,研海街,,
65000260,貢寮區,福興街,,
65000260,貢寮區,福連街,,
65000260,貢寮區,福隆街,,
65000260,貢寮區,福隆街,２巷,
65000260,貢寮區,福隆街,３０巷,
65000260,貢寮區,福隆街,９巷,
65000260,貢寮區,美灔山街,,
65000260,貢寮區,興隆街,,
65000260,貢寮區,興隆街,１００巷,
65000260,貢寮區,興隆街,２巷,
65000260,貢寮區,荖寮街,,
65000260,貢寮區,蓬萊街,,
65000260,貢寮區,虎子山街,,
65000260,貢寮區,裕隆街,,
65000260,貢寮區,貢寮街,,
65000260,貢寮區,貢寮街,２９巷,
65000260,貢寮區,貢寮街,４９巷,
65000260,貢寮區,遠望坑街,,
65000260,貢寮區,長泰路,,
65000260,貢寮區,長潭街,,
65000260,貢寮區,雞母嶺街,,
65000260,貢寮區,香蘭街,,
65000260,貢寮區,馬崗街,,
65000260,貢寮區,龍洞街,,
65000260,貢寮區,龍門街,,
65000260,貢寮區,龜壽谷街,,
