areacode,行政區,路名,巷,弄
65000270,金山區,,,
65000270,金山區,三民街,,
65000270,金山區,三界壇路,,
65000270,金山區,三界壇路,１０９巷,
65000270,金山區,三界壇路,１１１巷,
65000270,金山區,三界壇路,２３巷,
65000270,金山區,三界壇路,４０巷,
65000270,金山區,三界壇路,５８巷,
65000270,金山區,三界壇路,６５巷,
65000270,金山區,三界壇路,８９巷,
65000270,金山區,三界壇路,９５巷,
65000270,金山區,三界壇路,９７巷,
65000270,金山區,三界壇路,９９巷,
65000270,金山區,三重橋,,
65000270,金山區,下六股,,
65000270,金山區,中信北路,,
65000270,金山區,中信北路,１巷,
65000270,金山區,中信北路,１６巷,
65000270,金山區,中信北路,４１巷,
65000270,金山區,中信北路,４１巷,１０弄
65000270,金山區,中信北路,４５巷,
65000270,金山區,中信北路,４９巷,
65000270,金山區,中信北路,７４巷,
65000270,金山區,中信南路,,
65000270,金山區,中信南路,２巷,
65000270,金山區,中信南路,４巷,
65000270,金山區,中信南路,６巷,
65000270,金山區,中信南路,８巷,
65000270,金山區,中山路,,
65000270,金山區,中山路,１１９巷,
65000270,金山區,中山路,１６７巷,
65000270,金山區,中山路,１９０巷,
65000270,金山區,中山路,２２７巷,
65000270,金山區,中山路,２２７巷,４弄
65000270,金山區,中山路,２６３巷,
65000270,金山區,中山路,２７９巷,
65000270,金山區,中山路,２９５巷,
65000270,金山區,中山路,３１３巷,
65000270,金山區,中山路,３４３巷,
65000270,金山區,中山路,３５０巷,
65000270,金山區,中山路,３６０巷,
65000270,金山區,中山路,３８９巷,
65000270,金山區,中山路,４０１巷,
65000270,金山區,中山路,４３７巷,
65000270,金山區,中正路,,
65000270,金山區,中正路,１４１巷,
65000270,金山區,中正路,１４７巷,
65000270,金山區,中正路,２２巷,
65000270,金山區,中正路,６９巷,
65000270,金山區,中正路,７１巷,
65000270,金山區,中興路,,
65000270,金山區,中華路,,
65000270,金山區,中華路,１０１巷,
65000270,金山區,中華路,１０２巷,
65000270,金山區,中華路,１１２巷,
65000270,金山區,中華路,１２１巷,
65000270,金山區,中華路,１２２巷,
65000270,金山區,中華路,１５２巷,
65000270,金山區,中華路,１６４巷,
65000270,金山區,中華路,２６７巷,
65000270,金山區,仁愛路,,
65000270,金山區,仁愛路,１巷,
65000270,金山區,仁愛路,６４巷,
65000270,金山區,仁愛路,６７巷,
65000270,金山區,仁愛路,７８巷,
65000270,金山區,仁愛路,８７巷,
65000270,金山區,信義路,,
65000270,金山區,信義路,３１巷,
65000270,金山區,信義路,６４巷,
65000270,金山區,信義路,７６巷,
65000270,金山區,信義路,９巷,
65000270,金山區,倒照湖,,
65000270,金山區,八德街,,
65000270,金山區,六股林口,,
65000270,金山區,半嶺,,
65000270,金山區,南勢湖,,
65000270,金山區,名(流)路,,
65000270,金山區,名流路,,
65000270,金山區,名流路,１０巷,
65000270,金山區,名流路,１６巷,
65000270,金山區,名流路,１９巷,
65000270,金山區,名流路,２４巷,
65000270,金山區,名流路,３３巷,
65000270,金山區,名流路,４３巷,
65000270,金山區,名流路,５巷,
65000270,金山區,和平街,,
65000270,金山區,四維路,,
65000270,金山區,坑子內,,
65000270,金山區,大孔尾,,
65000270,金山區,大水堀,,
65000270,金山區,媽祖街,,
65000270,金山區,尖山子,,
65000270,金山區,山城路,,
65000270,金山區,山城路,１巷,
65000270,金山區,山城路,１０巷,
65000270,金山區,山城路,１０巷,２４弄
65000270,金山區,山城路,１０巷,２６弄
65000270,金山區,山城路,１０巷,２８弄
65000270,金山區,山城路,１０巷,３０弄
65000270,金山區,山城路,１０巷,３２弄
65000270,金山區,山城路,１０巷,３４弄
65000270,金山區,山城路,１７巷,
65000270,金山區,山城路,２０巷,
65000270,金山區,山城路,３３巷,
65000270,金山區,山城路,４巷,
65000270,金山區,山城路,５６巷,
65000270,金山區,山城路,６０巷,
65000270,金山區,山城路,６１巷,
65000270,金山區,山城路,６１巷,４弄
65000270,金山區,山城路,８０巷,
65000270,金山區,山城路,８９巷,
65000270,金山區,山城路,９０巷,
65000270,金山區,忠孝一路,,
