areacode,行政區,路名,巷,弄
65000250,雙溪區,,,
65000250,雙溪區,,１巷,
65000250,雙溪區,丁子蘭坑,,
65000250,雙溪區,三叉坑,,
65000250,雙溪區,三港,,
65000250,雙溪區,下坑,,
65000250,雙溪區,中坑,,
65000250,雙溪區,中山路,,
65000250,雙溪區,中山路,２１巷,
65000250,雙溪區,中山路,４１巷,
65000250,雙溪區,中山路,４８巷,
65000250,雙溪區,中正路,,
65000250,雙溪區,中正路,５８巷,
65000250,雙溪區,中正路,６１巷,
65000250,雙溪區,中正路,９３巷,
65000250,雙溪區,中正路,９５巷,
65000250,雙溪區,中華路,,
65000250,雙溪區,光復街,,
65000250,雙溪區,內厝,,
65000250,雙溪區,內平林,,
65000250,雙溪區,內挖,,
65000250,雙溪區,內柑腳,,
65000250,雙溪區,八股,,
65000250,雙溪區,公泰山,,
65000250,雙溪區,公館,,
65000250,雙溪區,勝利街,,
65000250,雙溪區,十三層,,
65000250,雙溪區,南陽,,
65000250,雙溪區,双奧,,
65000250,雙溪區,后番子坑,,
65000250,雙溪區,四分子,,
65000250,雙溪區,土地公山,,
65000250,雙溪區,土地公後,,
65000250,雙溪區,坤溪,,
65000250,雙溪區,外平林,,
65000250,雙溪區,外平林康福家園,,
65000250,雙溪區,外柑腳,,
65000250,雙溪區,大同街,,
65000250,雙溪區,大埤,,
65000250,雙溪區,大平,,
65000250,雙溪區,大瀨,,
65000250,雙溪區,太平路,,
65000250,雙溪區,定福,,
65000250,雙溪區,小坑,,
65000250,雙溪區,尫子崙坑,,
65000250,雙溪區,崩山坑,,
65000250,雙溪區,政光,,
65000250,雙溪區,料腳坑,,
65000250,雙溪區,新基北街,,
65000250,雙溪區,新基北街,１９巷,
65000250,雙溪區,新基南街,,
65000250,雙溪區,新基東街,,
65000250,雙溪區,新基西街,,
65000250,雙溪區,新寮子,,
65000250,雙溪區,新店,,
65000250,雙溪區,朝陽街,,
65000250,雙溪區,東榮街,,
65000250,雙溪區,東榮街,１巷,
65000250,雙溪區,東榮街,２巷,
65000250,雙溪區,東榮街,３巷,
65000250,雙溪區,東榮街,４巷,
65000250,雙溪區,東榮街,８巷,
65000250,雙溪區,柑腳,,
65000250,雙溪區,柑腳下坑,,
65000250,雙溪區,梅竹蹊,,
65000250,雙溪區,梅竹蹊,１巷,
65000250,雙溪區,泰和街,,
65000250,雙溪區,泰昌街,,
65000250,雙溪區,溪尾寮,,
65000250,雙溪區,烏山,,
65000250,雙溪區,燦光寮,,
65000250,雙溪區,牡丹,,
65000250,雙溪區,田寮,,
65000250,雙溪區,盤山坑,,
65000250,雙溪區,石壁坑,,
65000250,雙溪區,石笋,,
65000250,雙溪區,竹寮坑,,
65000250,雙溪區,竹林,,
65000250,雙溪區,竹篙山,,
65000250,雙溪區,紙坑,,
65000250,雙溪區,聖南,,
65000250,雙溪區,聖右,,
65000250,雙溪區,自強路,,
65000250,雙溪區,自強路,８巷,
65000250,雙溪區,警政街,,
65000250,雙溪區,赤皮崙,,
65000250,雙溪區,過溪,,
65000250,雙溪區,遠景,,
65000250,雙溪區,金山,,
65000250,雙溪區,長安街,,
65000250,雙溪區,青雲,,
65000250,雙溪區,頂坑,,
65000250,雙溪區,頂坪,,
65000250,雙溪區,魚坑,,
