areacode,行政區,路名,巷,弄
65000080,鶯歌區,,,
65000080,鶯歌區,三鶯路,,
65000080,鶯歌區,三鶯路,１０巷,
65000080,鶯歌區,三鶯路,１１９巷,
65000080,鶯歌區,三鶯路,２９巷,
65000080,鶯歌區,三鶯路,３１巷,
65000080,鶯歌區,三鶯路,３１巷,１５弄
65000080,鶯歌區,三鶯路,３１巷,１６弄
65000080,鶯歌區,三鶯路,３１巷,１７弄
65000080,鶯歌區,三鶯路,３１巷,１８弄
65000080,鶯歌區,三鶯路,３１巷,１９弄
65000080,鶯歌區,三鶯路,５０巷,
65000080,鶯歌區,三鶯路,６２巷,
65000080,鶯歌區,三鶯路,７６巷,
65000080,鶯歌區,三鶯路,８３巷,
65000080,鶯歌區,中山路,,
65000080,鶯歌區,中山路,１３８巷,
65000080,鶯歌區,中山路,１６６巷,
65000080,鶯歌區,中山路,２巷,
65000080,鶯歌區,中山路,２０８巷,
65000080,鶯歌區,中山路,２４９巷,
65000080,鶯歌區,中山路,２４９巷,２弄
65000080,鶯歌區,中山路,２４９巷,２４弄
65000080,鶯歌區,中山路,２４９巷,４弄
65000080,鶯歌區,中山路,２４９巷,８弄
65000080,鶯歌區,中山路,３２９巷,
65000080,鶯歌區,中山路,３２９巷,１６弄
65000080,鶯歌區,中山路,３２９巷,２２弄
65000080,鶯歌區,中山路,３２９巷,２４弄
65000080,鶯歌區,中山路,３２９巷,２６弄
65000080,鶯歌區,中山路,３２９巷,６弄
65000080,鶯歌區,中山路,４巷,
65000080,鶯歌區,中山路,４巷,１０弄
65000080,鶯歌區,中山路,９８巷,
65000080,鶯歌區,中正一路,,
65000080,鶯歌區,中正一路,建德巷,
65000080,鶯歌區,中正一路,建德２巷,
65000080,鶯歌區,中正一路,碧龍巷,
65000080,鶯歌區,中正一路,阿南巷,
65000080,鶯歌區,中正一路,阿四巷,
65000080,鶯歌區,中正一路,１３７巷,
65000080,鶯歌區,中正一路,１３７巷,１１弄
65000080,鶯歌區,中正一路,２巷,
65000080,鶯歌區,中正一路,２１巷,
65000080,鶯歌區,中正一路,２１１巷,
65000080,鶯歌區,中正一路,２１１巷,１弄
65000080,鶯歌區,中正一路,２１１巷,１０弄
65000080,鶯歌區,中正一路,２１１巷,３弄
65000080,鶯歌區,中正一路,２２巷,
65000080,鶯歌區,中正一路,２２２巷,
65000080,鶯歌區,中正一路,２２３巷,
65000080,鶯歌區,中正一路,２２３巷,１６弄
65000080,鶯歌區,中正一路,２２３巷,６弄
65000080,鶯歌區,中正一路,２６９巷,
65000080,鶯歌區,中正一路,２６９巷,３弄
65000080,鶯歌區,中正一路,２６９巷,５弄
65000080,鶯歌區,中正一路,３０３巷,
65000080,鶯歌區,中正一路,３３０巷,
65000080,鶯歌區,中正一路,３４５巷,
65000080,鶯歌區,中正一路,３４５巷,３弄
65000080,鶯歌區,中正一路,３６２巷,
65000080,鶯歌區,中正一路,４６３巷,１弄
65000080,鶯歌區,中正一路,６２巷,
65000080,鶯歌區,中正一路,６５巷,
65000080,鶯歌區,中正一路,６５巷,３１弄
65000080,鶯歌區,中正一路,６５巷,３７弄
65000080,鶯歌區,中正一路,６５巷,３９弄
65000080,鶯歌區,中正一路,６５巷,４１弄
65000080,鶯歌區,中正一路,７８巷,
65000080,鶯歌區,中正三路,,
65000080,鶯歌區,中正三路,曾厝巷,
65000080,鶯歌區,中正三路,福德巷,
65000080,鶯歌區,中正三路,福德巷,２弄
65000080,鶯歌區,中正三路,許厝巷,
65000080,鶯歌區,中正三路,邱厝巷,
65000080,鶯歌區,中正三路,鄭厝巷,
65000080,鶯歌區,中正三路,１００巷,
65000080,鶯歌區,中正三路,１００巷,２４弄
65000080,鶯歌區,中正三路,１４７巷,
65000080,鶯歌區,中正三路,１５６巷,
65000080,鶯歌區,中正三路,１５６巷,３３弄
65000080,鶯歌區,中正三路,１７１巷,
65000080,鶯歌區,中正三路,１９３巷,
65000080,鶯歌區,中正三路,１９４巷,
65000080,鶯歌區,中正三路,１９４巷,１弄
65000080,鶯歌區,中正三路,２１０巷,
65000080,鶯歌區,中正三路,２３０巷,
65000080,鶯歌區,中正三路,２３０巷,１１弄
65000080,鶯歌區,中正三路,２３８巷,
65000080,鶯歌區,中正三路,２４７巷,
65000080,鶯歌區,中正三路,２４７巷,５０弄
65000080,鶯歌區,中正三路,２４７巷,５５弄
65000080,鶯歌區,中正三路,２４７巷,６１弄
65000080,鶯歌區,中正三路,２４７巷,６７弄
65000080,鶯歌區,中正三路,２５４巷,
65000080,鶯歌區,中正三路,２７３巷,
65000080,鶯歌區,中正三路,２８２巷,
65000080,鶯歌區,中正三路,２８２巷,１０弄
65000080,鶯歌區,中正三路,２８２巷,１２弄
65000080,鶯歌區,中正三路,２８３巷,
65000080,鶯歌區,中正三路,２８５巷,
65000080,鶯歌區,中正三路,２９１巷,
65000080,鶯歌區,中正三路,２９１巷,１５弄
65000080,鶯歌區,中正三路,２９１巷,２０弄
65000080,鶯歌區,中正三路,２９１巷,７弄
65000080,鶯歌區,中正三路,２９４巷,
65000080,鶯歌區,中正三路,３０２巷,
65000080,鶯歌區,中正三路,３０９巷,
65000080,鶯歌區,中正三路,３０９巷,１２弄
65000080,鶯歌區,中正三路,３１８巷,
65000080,鶯歌區,中正三路,３１８巷,３１弄
65000080,鶯歌區,中正三路,３３５巷,
65000080,鶯歌區,中正三路,３３５巷,１５弄
65000080,鶯歌區,中正三路,３３５巷,３弄
65000080,鶯歌區,中正三路,３６５巷,
65000080,鶯歌區,中正三路,３８８巷,
65000080,鶯歌區,中正三路,３８８巷,１弄
65000080,鶯歌區,中正三路,４０６巷,
65000080,鶯歌區,中正三路,４０６巷,１６弄
65000080,鶯歌區,中正三路,４０６巷,３弄
65000080,鶯歌區,中正三路,４２０巷,
65000080,鶯歌區,中正三路,４４５巷,
65000080,鶯歌區,中正三路,４４８巷,
65000080,鶯歌區,中正三路,４９１巷,
65000080,鶯歌區,中正三路,５巷,
65000080,鶯歌區,中正三路,５巷,２弄
65000080,鶯歌區,中正二路,,
65000080,鶯歌區,中正二路,１９０巷,
65000080,鶯歌區,中正二路,４５巷,
65000080,鶯歌區,中正二路,９１巷,
65000080,鶯歌區,中湖街,,
65000080,鶯歌區,中湖街,東學巷,
65000080,鶯歌區,中湖街,１２巷,
65000080,鶯歌區,中湖街,１５２巷,
65000080,鶯歌區,中湖街,１７８巷,
65000080,鶯歌區,中湖街,２５巷,
65000080,鶯歌區,中湖街,２５８巷,
65000080,鶯歌區,中湖街,２８０巷,
65000080,鶯歌區,中湖街,３０１巷,
65000080,鶯歌區,中湖街,３０３巷,
65000080,鶯歌區,中湖街,３０５巷,
65000080,鶯歌區,中湖街,３０７巷,
65000080,鶯歌區,中湖街,３０９巷,
65000080,鶯歌區,中湖街,３０９巷,６弄
